TVD (ft) =	7503.00	ft
		
Time (minutes)	Pressure(psi)	Rate (gpm)
84.22	1690.90	0.00
84.28	1690.57	0.00
84.33	1690.24	0.00
84.41	1689.93	0.00
84.45	1689.60	0.00
84.52	1689.29	0.00
84.57	1688.94	0.00
84.63	1688.64	0.00
84.68	1688.32	0.00
84.74	1688.03	0.00
84.79	1687.71	0.00
84.85	1687.41	0.00
84.90	1687.11	0.00
84.96	1686.80	0.00
85.03	1686.49	0.00
85.09	1686.20	0.00
85.14	1685.89	0.00
85.19	1685.61	0.00
85.25	1685.30	0.00
85.31	1685.00	0.00
85.36	1684.72	0.00
85.42	1684.43	0.00
85.49	1684.14	0.00
85.54	1683.84	0.00
85.60	1683.57	0.00
85.65	1683.29	0.00
85.71	1683.01	0.00
85.77	1682.75	0.00
85.82	1682.45	0.00
85.87	1682.20	0.00
85.93	1681.93	0.00
85.98	1681.66	0.00
86.04	1681.38	0.00
86.11	1681.11	0.00
86.17	1680.84	0.00
86.22	1680.60	0.00
86.28	1680.32	0.00
86.33	1680.05	0.00
86.39	1679.81	0.00
86.44	1679.55	0.00
86.50	1679.27	0.00
86.55	1679.01	0.00
86.63	1678.79	0.00
86.68	1678.51	0.00
86.74	1678.26	0.00
86.79	1677.98	0.00
86.84	1677.74	0.00
86.90	1677.49	0.00
86.96	1677.26	0.00
87.01	1676.99	0.00
87.09	1676.76	0.00
87.14	1676.50	0.00
87.19	1676.28	0.00
87.25	1676.03	0.00
87.30	1675.78	0.00
87.36	1675.53	0.00
87.42	1675.30	0.00
87.49	1675.06	0.00
87.54	1674.83	0.00
87.60	1674.59	0.00
87.65	1674.37	0.00
87.71	1674.13	0.00
87.76	1673.88	0.00
87.82	1673.66	0.00
87.87	1673.43	0.00
87.93	1673.20	0.00
88.00	1672.99	0.00
88.06	1672.77	0.00
88.11	1672.52	0.00
88.16	1672.30	0.00
88.22	1672.09	0.00
88.28	1671.86	0.00
88.33	1671.66	0.00
88.39	1671.42	0.00
88.46	1671.20	0.00
88.51	1671.00	0.00
88.57	1670.78	0.00
88.62	1670.56	0.00
88.68	1670.34	0.00
88.74	1670.11	0.00
88.79	1669.92	0.00
88.84	1669.70	0.00
88.90	1669.51	0.00
88.97	1669.29	0.00
89.03	1669.09	0.00
89.08	1668.88	0.00
89.14	1668.68	0.00
89.19	1668.47	0.00
89.25	1668.27	0.00
89.30	1668.07	0.00
89.36	1667.86	0.00
89.41	1667.66	0.00
89.48	1667.46	0.00
89.54	1667.25	0.00
89.60	1667.05	0.00
89.65	1666.85	0.00
89.71	1666.64	0.00
89.76	1666.46	0.00
89.81	1666.26	0.00
89.89	1666.07	0.00
89.94	1665.86	0.00
90.00	1665.68	0.00
90.06	1665.50	0.00
90.11	1665.28	0.00
90.16	1665.10	0.00
90.24	1664.89	0.00
90.29	1664.65	0.00
90.35	1664.48	0.00
90.40	1664.28	0.00
90.47	1664.09	0.00
90.53	1663.90	0.00
90.59	1663.72	0.00
90.64	1663.52	0.00
90.70	1663.33	0.00
90.75	1663.17	0.00
90.80	1662.98	0.00
90.88	1662.79	0.00
90.93	1662.62	0.00
90.99	1662.44	0.00
91.05	1662.28	0.00
91.10	1662.08	0.00
91.15	1661.94	0.00
91.21	1661.73	0.00
91.26	1661.54	0.00
91.34	1661.36	0.00
91.39	1661.21	0.00
91.45	1661.06	0.00
91.50	1660.87	0.00
91.56	1660.69	0.00
91.61	1660.53	0.00
91.67	1660.34	0.00
91.72	1660.18	0.00
91.78	1659.99	0.00
91.85	1659.82	0.00
91.89	1659.66	0.00
91.96	1659.50	0.00
92.02	1659.34	0.00
92.07	1659.16	0.00
92.12	1659.00	0.00
92.18	1658.84	0.00
92.24	1658.68	0.00
92.29	1658.50	0.00
92.37	1658.35	0.00
92.42	1658.17	0.00
92.47	1658.03	0.00
92.53	1657.84	0.00
92.58	1657.67	0.00
92.64	1657.52	0.00
92.71	1657.36	0.00
92.77	1657.23	0.00
92.82	1657.05	0.00
92.88	1656.89	0.00
92.93	1656.72	0.00
92.99	1656.58	0.00
93.04	1656.42	0.00
93.11	1656.27	0.00
93.17	1656.11	0.00
93.23	1655.96	0.00
93.28	1655.79	0.00
93.34	1655.64	0.00
93.39	1655.50	0.00
93.44	1655.35	0.00
93.50	1655.19	0.00
93.56	1655.05	0.00
93.63	1654.90	0.00
93.69	1654.73	0.00
93.74	1654.57	0.00
93.79	1654.44	0.00
93.85	1654.29	0.00
93.90	1654.14	0.00
93.96	1653.98	0.00
94.02	1653.84	0.00
94.07	1653.71	0.00
94.14	1653.56	0.00
94.20	1653.40	0.00
94.25	1653.26	0.00
94.31	1653.12	0.00
94.36	1652.96	0.00
94.42	1652.84	0.00
94.47	1652.71	0.00
94.53	1652.55	0.00
94.60	1652.41	0.00
94.66	1652.27	0.00
94.71	1652.13	0.00
94.76	1651.98	0.00
94.82	1651.86	0.00
94.88	1651.72	0.00
94.93	1651.57	0.00
94.99	1651.43	0.00
95.04	1651.30	0.00
95.11	1651.17	0.00
95.17	1651.02	0.00
95.22	1650.89	0.00
95.28	1650.75	0.00
95.34	1650.61	0.00
95.39	1650.47	0.00
95.44	1650.35	0.00
95.50	1650.20	0.00
95.55	1650.06	0.00
95.63	1649.95	0.00
95.68	1649.80	0.00
95.74	1649.67	0.00
95.79	1649.52	0.00
95.85	1649.42	0.00
95.90	1649.25	0.00
95.98	1649.14	0.00
96.03	1649.01	0.00
96.08	1648.89	0.00
96.14	1648.78	0.00
96.20	1648.59	0.00
96.25	1648.48	0.00
96.31	1648.35	0.00
96.38	1648.21	0.00
96.43	1648.11	0.00
96.49	1647.97	0.00
96.54	1647.82	0.00
96.60	1647.70	0.00
96.66	1647.57	0.00
96.71	1647.46	0.00
96.78	1647.34	0.00
96.84	1647.22	0.00
96.89	1647.09	0.00
96.95	1646.93	0.00
97.00	1646.81	0.00
97.06	1646.70	0.00
97.11	1646.58	0.00
97.17	1646.46	0.00
97.22	1646.32	0.00
97.30	1646.22	0.00
97.35	1646.10	0.00
97.40	1645.95	0.00
97.46	1645.83	0.00
97.53	1645.71	0.00
97.59	1645.56	0.00
97.65	1645.46	0.00
97.70	1645.31	0.00
97.75	1645.22	0.00
97.81	1645.08	0.00
97.88	1644.97	0.00
97.94	1644.86	0.00
97.99	1644.73	0.00
98.05	1644.62	0.00
98.10	1644.50	0.00
98.16	1644.39	0.00
98.21	1644.27	0.00
98.27	1644.16	0.00
98.32	1644.05	0.00
98.38	1643.93	0.00
98.45	1643.80	0.00
98.51	1643.69	0.00
98.56	1643.59	0.00
98.62	1643.46	0.00
98.67	1643.36	0.00
98.72	1643.22	0.00
98.78	1643.11	0.00
98.85	1643.02	0.00
98.91	1642.88	0.00
98.97	1642.78	0.00
99.02	1642.66	0.00
99.07	1642.55	0.00
99.13	1642.44	0.00
99.18	1642.34	0.00
99.26	1642.23	0.00
99.31	1642.10	0.00
99.37	1642.00	0.00
99.42	1641.89	0.00
99.48	1641.77	0.00
99.53	1641.64	0.00
99.59	1641.55	0.00
99.66	1641.44	0.00
99.71	1641.34	0.00
99.77	1641.23	0.00
99.83	1641.12	0.00
99.88	1641.01	0.00
99.94	1640.89	0.00
99.99	1640.78	0.00
100.06	1640.67	0.00
100.12	1640.57	0.00
100.17	1640.46	0.00
100.23	1640.35	0.00
100.29	1640.27	0.00
100.36	1640.16	0.00
100.41	1640.02	0.00
100.47	1639.94	0.00
100.52	1639.86	0.00
100.58	1639.75	0.00
100.63	1639.64	0.00
100.69	1639.51	0.00
100.76	1639.42	0.00
100.82	1639.31	0.00
100.87	1639.22	0.00
100.93	1639.11	0.00
100.98	1638.99	0.00
101.03	1638.91	0.00
101.09	1638.80	0.00
101.16	1638.69	0.00
101.22	1638.57	0.00
101.28	1638.48	0.00
101.33	1638.37	0.00
101.38	1638.26	0.00
101.44	1638.18	0.00
101.49	1638.07	0.00
101.57	1637.97	0.00
101.62	1637.87	0.00
101.68	1637.74	0.00
101.73	1637.64	0.00
101.79	1637.54	0.00
101.84	1637.44	0.00
101.92	1637.34	0.00
101.95	1637.26	0.00
102.02	1637.17	0.00
