P_110,S1_110,P_70,S1_70,P_35,S1_35
-0.352503577,503.1111111,-0.275356329,400.8888889,-0.236485985,264
40.74175807,409.7777778,17.42370582,342.2222222,7.202288984,215.1111111
75.91556191,340.4444444,34.09641286,288.8888889,16.50268638,196.4444444
109.6731203,188.4444444,51.21123298,226.6666667,25.13071584,150.2222222
109.6731203,188.4444444,70.0405023,140.4444444,34.23824511,87.11111111
