Depth(MD)	DTC	DTS	Bulk Density
[ft]	[us/ft]	[us/ft]	[g/cc]
2972	149.1	475.005	2.058
2972.5	149.127	476.96	2.055
2973	149.476	477.546	2.046
2973.5	150.114	476.063	2.04
2974	151.04	480.711	2.037
2974.5	151.796	488.32	2.026
2975	151.897	493.946	2.009
2975.5	151.358	495.743	2.002
2976	150.08	495.106	2.011
2976.5	148.546	491.572	2.03
2977	147.423	488.009	2.042
2977.5	146.806	485.171	2.043
2978	146.472	485.49	2.045
2978.5	146.632	483.565	2.05
2979	147.755	483.42	2.052
2979.5	148.673	483.94	2.05
2980	149.15	487.26	2.044
2980.5	149.334	489.02	2.04
2981	149.514	487.81	2.039
2981.5	149.296	490.38	2.036
2982	149.576	496.06	2.026
2982.5	149.453	500.82	2.009
2983	149.585	499.6	1.996
2983.5	148.671	494.99	1.994
2984	147.64	486.9	2.002
2984.5	147.376	483.52	2.016
2985	148.806	484.96	2.033
2985.5	151.113	489.3	2.049
2986	152.73	489.58	2.055
2986.5	153.202	485.774	2.053
2987	152.965	478.149	2.052
2987.5	152.445	470.317	2.053
2988	150.918	466.409	2.049
2988.5	149.868	464.664	2.042
2989	149.569	468.8	2.04
2989.5	150.09	475.25	2.047
2990	151.186	482.3	2.055
2990.5	153.015	486.95	2.059
2991	153.404	488.76	2.057
2991.5	152.876	490.6	2.051
2992	152.287	491.4	2.042
2992.5	152.299	487.583	2.031
2993	151.024	485.606	2.017
2993.5	150.987	483.551	2.004
2994	151.132	483.686	1.993
2994.5	151.643	483.593	1.99
2995	152.151	485.3	1.999
2995.5	151.954	488.6	2.015
2996	151.327	490.7	2.025
2996.5	150.909	490.25	2.025
2997	151.146	486.92	2.017
2997.5	151.692	485.38	2.004
2998	151.996	486.511	2
2998.5	150.844	487.821	2.011
2999	149.772	481.714	2.022
2999.5	148.853	474.621	2.017
3000	148.414	468.587	2.005
3000.5	149.239	467.889	2.005
3001	150.803	465.679	2.017
3001.5	153.296	468.19	2.029
3002	154.239	471.671	2.032
3002.5	154.22	477.067	2.027
3003	152.645	479.42	2.018
3003.5	151.125	478.96	2.003
3004	149.453	478.08	1.992
3004.5	148.743	473.98	1.998
3005	148.579	470.86	2.019
3005.5	149.021	469.92	2.033
3006	149.341	472.26	2.031
3006.5	149.693	472.18	2.021
3007	149.187	471.2	2.012
3007.5	148.457	469.2	2.007
3008	147.825	466.5	2.012
3008.5	147.378	463	2.022
3009	147.359	463.133	2.028
3009.5	147.819	468.803	2.031
3010	148.529	477.914	2.037
3010.5	149.627	482.396	2.045
3011	150.107	481.275	2.046
3011.5	150.539	478.871	2.035
3012	151.11	477.257	2.012
3012.5	151.593	477.495	1.985
3013	151.757	478	1.972
3013.5	151.59	478.444	1.982
3014	150.666	479.946	2.003
3014.5	149.525	482.712	2.017
3015	148.011	487.743	2.02
3015.5	146.921	486.321	2.015
3016	146.169	480.019	2.007
3016.5	147.267	471.488	2.003
3017	148.807	470.639	2.004
3017.5	150.727	475.605	2.005
3018	151.325	479.938	1.998
3018.5	151.214	479.761	1.99
3019	150.253	474.049	1.988
3019.5	149.255	478.712	1.992
3020	148.344	485.052	2.001
3020.5	147.736	493.251	2.015
3021	147.314	494.504	2.028
3021.5	146.597	493.679	2.038
3022	145.901	488.287	2.042
3022.5	145.471	482.494	2.041
3023	145.83	477.283	2.036
3023.5	147.015	472.807	2.03
3024	148.199	470.388	2.026
3024.5	149.133	471.711	2.023
3025	149.685	475.041	2.018
3025.5	149.96	481.129	2.011
3026	149.243	488.158	2.007
3026.5	147.897	491.845	2.006
3027	146.772	488.447	2.005
3027.5	146.3	475.11	2.006
3028	147.173	466.223	2.007
3028.5	147.448	460.416	2.007
3029	149.048	459.817	2.006
3029.5	149.877	460.814	2.007
3030	150.292	463.682	2.012
3030.5	149.552	470.061	2.019
3031	148.642	475.084	2.018
3031.5	147.433	477.683	2.009
3032	146.722	477.861	2.004
3032.5	146.074	474.965	2.005
3033	145.875	471.09	2.008
3033.5	145.927	466.978	2.007
3034	146.355	464.43	2.004
3034.5	146.792	463.309	2.005
3035	146.921	464.607	2.006
3035.5	147.62	466.037	2.001
3036	148.477	466.92	1.995
3036.5	149.34	468.876	1.997
3037	149.864	469.42	2.009
3037.5	150.14	472.339	2.019
3038	149.21	476.984	2.022
3038.5	148.267	481.839	2.019
3039	147.626	486.775	2.014
3039.5	147.539	484.94	2.007
3040	147.927	484.204	1.999
3040.5	147.634	476.722	1.995
3041	147.378	468.881	1.999
3041.5	147.166	464.46	2.009
3042	146.874	463.887	2.018
3042.5	146.697	466.658	2.018
3043	146.238	470.447	2.008
3043.5	145.778	472.054	1.996
3044	145.115	468.709	1.991
3044.5	144.263	461.084	1.997
3045	143.774	454.027	2.007
3045.5	144.084	451.503	2.016
3046	144.796	452.738	2.019
3046.5	145.666	455.478	2.02
3047	146.476	457.262	2.02
3047.5	147.05	456.873	2.022
3048	146.715	457.543	2.025
3048.5	145.601	460.786	2.029
3049	144.055	462.542	2.035
3049.5	143.162	460.277	2.041
3050	142.65	453.953	2.043
3050.5	143.148	444.9	2.04
3051	144.193	446.83	2.031
3051.5	145.628	443.58	2.017
3052	146.677	444.613	2.005
3052.5	147.222	443.174	2.002
3053	146.545	444.522	2.006
3053.5	145.257	443.803	2.012
3054	143.376	448.418	2.018
3054.5	142.694	449.155	2.025
3055	142.67	455.887	2.03
3055.5	142.949	457.056	2.033
3056	143.43	459.524	2.036
3056.5	143.835	458.99	2.04
3057	144.145	459.902	2.042
3057.5	143.853	461.041	2.037
3058	143.279	462.897	2.03
3058.5	142.807	464.621	2.028
3059	142.886	464.589	2.029
3059.5	143.701	464.724	2.031
3060	145.01	467.448	2.031
3060.5	146.675	471.494	2.031
3061	148.155	474.591	2.031
3061.5	149.098	475.313	2.031
3062	149.798	473.645	2.034
3062.5	149.91	475.774	2.035
3063	149.873	475.884	2.031
3063.5	149.082	477.105	2.026
3064	148.125	479.493	2.025
3064.5	146.749	481.753	2.027
3065	145.29	484.248	2.03
3065.5	144.346	484.049	2.029
3066	143.685	480.826	2.029
3066.5	143.01	477.2	2.03
3067	142.201	476.871	2.028
3067.5	141.739	477.344	2.024
3068	141.531	479.551	2.02
3068.5	141.534	482.091	2.017
3069	142.378	483.051	2.012
3069.5	144.218	488.393	2.008
3070	146.507	487.575	2.008
3070.5	147.328	487.574	2.015
3071	146.666	485.537	2.025
3071.5	145.552	486.854	2.029
3072	144.249	486.333	2.023
3072.5	143.419	490.962	2.017
3073	142.602	493.446	2.015
3073.5	142.72	492.772	2.017
3074	144.405	489.044	2.019
3074.5	145.884	486.351	2.022
3075	148.447	485.567	2.026
3075.5	148.887	487.381	2.029
3076	147.409	488.31	2.026
3076.5	145.578	489.449	2.023
3077	144.563	488.964	2.022
3077.5	144.193	486.417	2.021
3078	145.077	487.69	2.004
3078.5	146.226	490.642	1.967
3079	147.843	492.846	1.924
3079.5	148.237	495.469	1.892
3080	148.671	497.584	1.873
3080.5	148.036	499.871	1.86
3081	149.121	498.472	1.859
3081.5	148.646	498.092	1.885
3082	148.271	496.565	1.933
3082.5	146.029	497.647	1.973
3083	144.734	495.235	1.992
3083.5	143.637	487.079	2
3084	142.502	480.669	2.006
3084.5	141.062	473.92	2.011
3085	140.936	473.102	2.017
3085.5	141.183	476.96	2.022
3086	141.291	483.454	2.021
3086.5	142.024	484.18	2.019
3087	143.712	488.877	2.021
3087.5	144.777	489.955	2.022
3088	144.519	490	2.018
3088.5	143.398	484.871	2.012
3089	142.678	476.87	2.006
3089.5	143.061	471.851	1.999
3090	143.677	471.942	1.989
3090.5	144.755	481.725	1.986
3091	144.993	487.673	1.996
3091.5	144.985	494.415	2.01
3092	144.114	498.915	2.012
3092.5	142.831	502.775	2.003
3093	141.568	497.335	1.998
3093.5	141.642	486.994	2.001
3094	143.003	483.199	2.007
3094.5	143.912	487.227	2.016
3095	145.234	490.725	2.03
3095.5	145.921	487.457	2.043
3096	146.814	480.549	2.048
3096.5	147.713	474.422	2.045
3097	147.035	473.21	2.039
3097.5	145.113	473.042	2.033
3098	142.673	474.172	2.028
3098.5	142.717	475.317	2.024
3099	142.367	474.688	2.014
3099.5	142.296	472.6	2.001
3100	143.235	469.684	1.998
3100.5	145.412	469.827	2.012
3101	146.083	472.983	2.031
3101.5	145.119	479.781	2.041
3102	141.539	485.355	2.044
3102.5	140.168	485.014	2.044
3103	138.235	476.209	2.026
3103.5	140.473	467.794	1.985
3104	140.776	462.453	1.955
3104.5	141.673	463.775	1.969
3105	141.628	466.342	2.015
3105.5	142.407	469.496	2.045
3106	142.383	472.822	2.045
3106.5	142.363	470.907	2.041
3107	141.542	470.867	2.042
3107.5	141.088	471.284	2.042
3108	140.622	473.492	2.04
3108.5	140.225	474.884	2.04
3109	140.019	474.029	2.037
3109.5	140.69	476.09	2.026
3110	142.133	479.205	2.01
3110.5	142.804	482.128	2.004
3111	142.584	484.547	2.012
3111.5	142.004	486.782	2.029
3112	140.633	488.659	2.041
3112.5	139.826	489.322	2.041
3113	138.936	488.332	2.033
3113.5	138.737	487.127	2.031
3114	138.739	487.516	2.043
3114.5	139.03	488.574	2.058
3115	139.189	490.861	2.058
3115.5	139.233	493.062	2.039
3116	139.642	493.601	2.021
3116.5	139.838	490.623	2.02
3117	138.343	487.813	2.032
3117.5	138.133	487.331	2.035
3118	138.519	486.894	2.026
3118.5	140.414	483.405	2.024
3119	140.974	482.409	2.034
3119.5	141.675	475.568	2.047
3120	140.85	470.308	2.051
3120.5	140.609	465.661	2.05
3121	139.158	462.936	2.048
3121.5	138.227	460.61	2.047
3122	136.643	459.535	2.048
3122.5	138.613	460.837	2.049
3123	140.177	463.343	2.046
3123.5	143.014	467.448	2.04
3124	143.453	470.019	2.041
3124.5	142.771	466.994	2.065
3125	139.18	457.052	2.112
3125.5	133.912	440.461	2.163
3126	129.47	425.724	2.196
3126.5	126.006	413.213	2.209
3127	124.699	408.665	2.215
3127.5	123.936	407.261	2.22
3128	123.702	406.307	2.222
3128.5	123.801	402.885	2.224
3129	124.43	397.523	2.226
3129.5	124.826	392.009	2.23
3130	125.344	389.945	2.238
3130.5	125.961	393.059	2.245
3131	126.694	399.566	2.243
3131.5	127.979	407.734	2.235
3132	129.374	416.253	2.229
3132.5	130.182	422.416	2.225
3133	130.479	424.789	2.22
3133.5	130.793	425.325	2.217
3134	131.399	423.315	2.217
3134.5	132.62	423.322	2.22
3135	133.671	424.932	2.221
3135.5	134.712	427.019	2.22
3136	136.35	429.122	2.219
3136.5	138.589	427.863	2.218
3137	142.07	427.224	2.217
3137.5	143.704	425.53	2.214
3138	143.55	426.547	2.212
3138.5	142.121	427.334	2.216
3139	140.788	427.477	2.223
3139.5	138.218	424.331	2.228
3140	136.256	418.358	2.227
3140.5	134.458	415.168	2.223
3141	133.735	414.853	2.222
3141.5	133.411	417.181	2.223
3142	133.407	421.632	2.227
3142.5	133.256	424.668	2.228
3143	133.531	425.579	2.228
3143.5	134.295	425.324	2.225
3144	135.266	425.521	2.221
3144.5	136.104	429.052	2.219
3145	137.288	433.824	2.218
3145.5	138.229	439.266	2.217
3146	138.492	441.854	2.211
3146.5	137.659	438.309	2.2
3147	135.963	429.28	2.191
3147.5	135.415	422.594	2.189
3148	135.051	423.853	2.198
3148.5	134.647	423.558	2.207
3149	133.743	422.251	2.206
3149.5	132.69	415.925	2.2
3150	131.805	402.937	2.205
3150.5	130.278	393.23	2.22
3151	129.717	388.238	2.23
3151.5	128.924	394.469	2.216
3152	130.214	397.343	2.169
3152.5	132.635	400.869	2.107
3153	135.412	423.168	2.059
3153.5	137.166	449.81	2.038
3154	138.23	461.591	2.042
3154.5	138.514	462.074	2.069
3155	138.509	458.366	2.106
3155.5	137.881	452.848	2.128
3156	137.582	448.966	2.13
3156.5	137.554	443.977	2.135
3157	138.216	443.53	2.157
3157.5	139.126	445.547	2.186
3158	140.098	447.712	2.2
3158.5	140.396	446.444	2.202
3159	140.332	443.36	2.201
3159.5	140.264	438.194	2.2
3160	139.535	432.219	2.198
3160.5	138.293	426.922	2.194
3161	136.823	422.644	2.195
3161.5	135.342	419.255	2.215
3162	134.206	417.216	2.252
3162.5	133.979	416.365	2.283
3163	134.852	417.165	2.292
3163.5	135.928	418.682	2.277
3164	137.264	419.31	2.247
3164.5	137.93	419.74	2.215
3165	138.385	421.346	2.191
3165.5	138.327	424.562	2.18
3166	138.579	427.441	2.189
3166.5	138.719	429.053	2.201
3167	138.977	429.158	2.203
3167.5	139.075	428.586	2.197
3168	138.907	427.717	2.188
3168.5	138.25	427.285	2.182
3169	137.536	425.647	2.183
3169.5	137.089	424.792	2.192
3170	137.327	421.83	2.207
3170.5	137.346	418.244	2.218
3171	137.056	414.367	2.218
3171.5	137.015	411.982	2.209
3172	137.23	407.899	2.199
3172.5	137.731	406.146	2.195
3173	137.632	404.764	2.198
3173.5	137.263	405.469	2.203
3174	137.066	405.243	2.208
3174.5	137.294	405.024	2.213
3175	137.313	403.692	2.217
3175.5	137.532	402.423	2.218
3176	137.407	400.831	2.219
3176.5	137.32	398.908	2.219
3177	136.479	398.223	2.22
3177.5	135.996	396.945	2.22
3178	135.536	397.351	2.218
3178.5	135.548	399.663	2.213
3179	135.891	397.449	2.207
3179.5	136.591	393.243	2.202
3180	136.689	381.915	2.2
3180.5	134.751	377.551	2.198
3181	133.381	374.447	2.189
3181.5	131.717	378.811	2.168
3182	131.286	390.01	2.143
3182.5	130.995	402.188	2.129
3183	131.223	413.268	2.13
3183.5	131.233	422.416	2.136
3184	130.895	430.954	2.133
3184.5	130.941	437.443	2.118
3185	130.665	436.5	2.096
3185.5	130.425	432.276	2.081
3186	129.593	428.66	2.089
3186.5	129.564	430.348	2.11
3187	129.602	433.489	2.117
3187.5	130.296	439.059	2.106
3188	131.363	441.851	2.096
3188.5	132.839	443.794	2.093
3189	133.714	441.482	2.087
3189.5	133.589	447.3	2.071
3190	133.475	454.286	2.048
3190.5	134.052	462.025	2.033
3191	135.273	462.085	2.019
3191.5	136.83	456.676	1.979
3192	137.87	446.8	1.912
3192.5	139.058	438.851	1.856
3193	139.92	435.265	1.85
3193.5	140.807	437.024	1.904
3194	139.961	442.255	1.984
3194.5	137.909	447.299	2.04
3195	136.34	450.358	2.06
3195.5	136.117	447.529	2.061
3196	135.376	439.972	2.051
3196.5	134.857	437.974	2.041
3197	134.668	440.501	2.044
3197.5	135.076	444.3	2.049
3198	136.221	446.351	2.047
3198.5	137.301	450.619	2.044
3199	137.889	457.023	2.044
3199.5	137.985	461.731	2.045
3200	137.936	465.013	2.046
3200.5	138.362	468.37	2.055
3201	139.031	472.112	2.068
3201.5	139.415	474.176	2.078
3202	138.891	474.151	2.083
3202.5	138.072	469.293	2.086
3203	137.123	459.702	2.095
3203.5	136.486	448.662	2.115
3204	135.71	440.292	2.137
3204.5	135.22	438.016	2.142
3205	134.937	440.961	2.128
3205.5	135.021	445.786	2.111
3206	134.639	448.865	2.104
3206.5	134.151	448.018	2.101
3207	133.91	445.498	2.099
3207.5	135.984	445.073	2.095
3208	137.626	446.092	2.084
3208.5	139.184	450.038	2.058
3209	139.963	456.459	2.025
3209.5	140.309	462.467	2
3210	140.462	465.031	1.991
3210.5	140.432	466.44	1.994
3211	140.229	467.065	1.997
3211.5	139.765	469.832	1.996
3212	139.852	469.996	1.991
3212.5	141.11	473.217	1.989
3213	143.243	473.024	1.992
3213.5	145.321	471.661	1.996
3214	147.05	464.147	1.99
3214.5	147.675	461.385	1.976
3215	147.887	459.994	1.971
3215.5	147.405	461.903	1.98
3216	145.724	465.804	1.991
3216.5	142.712	472.262	1.993
3217	141.105	478.899	1.989
3217.5	140.322	485.303	1.989
3218	140.545	488.71	1.993
3218.5	141.126	488.305	2.004
3219	141.359	485.536	2.025
3219.5	141.253	483.917	2.051
3220	140.726	483.656	2.069
3220.5	140.139	483.087	2.074
3221	139.795	480.507	2.076
3221.5	139.814	478.488	2.078
3222	140.123	475.894	2.07
3222.5	140.843	473.591	2.041
3223	141.893	471.963	2.002
3223.5	142.698	474.046	1.973
3224	143.273	476.756	1.96
3224.5	143.371	475.6	1.955
3225	144.394	474.046	1.95
3225.5	145.646	471.377	1.948
3226	147.197	475.667	1.951
3226.5	147.693	477.822	1.956
3227	147.258	480.14	1.961
3227.5	145.694	479.415	1.966
3228	144.542	478.85	1.969
3228.5	144.193	477.542	1.971
3229	144.432	477.181	1.972
3229.5	145.175	478.004	1.969
3230	144.78	478.047	1.966
3230.5	145.543	477.881	1.971
3231	147.646	476.74	1.982
3231.5	148.249	476.31	1.986
3232	147.955	476.233	1.976
3232.5	146.324	479.51	1.963
3233	145.661	483.715	1.962
3233.5	143.277	486.914	1.976
3234	140.313	486.612	1.997
3234.5	136.107	484.339	2.014
3235	134.241	478.065	2.031
3235.5	134.488	471.262	2.054
3236	137.257	462.708	2.077
3236.5	140.684	457.574	2.082
3237	142.576	454.697	2.055
3237.5	143.889	457.438	2.004
3238	144.658	463.429	1.96
3238.5	145.372	470.075	1.94
3239	145.05	475.991	1.941
3239.5	144.922	479.215	1.952
3240	144.902	479.907	1.964
3240.5	144.514	478.656	1.977
3241	144.419	477.387	1.987
3241.5	142.741	476.206	1.991
3242	141.62	475.104	1.991
3242.5	140.844	471.014	1.992
3243	140.969	463.799	2.004
3243.5	141.046	457.389	2.031
3244	142.017	451.651	2.05
3244.5	142.371	449.485	2.04
3245	142.826	453.022	2.008
3245.5	143.224	457.191	1.982
3246	144.468	462.745	1.969
3246.5	144.185	468.087	1.965
3247	142.562	474.734	1.967
3247.5	141.329	479.814	1.971
3248	140.995	481.58	1.979
3248.5	140.947	480.911	1.989
3249	140.881	479.497	1.995
3249.5	141.076	477.071	1.996
3250	141.665	474.273	1.996
3250.5	142.273	471.484	1.996
3251	142.85	468.345	1.996
3251.5	142.55	467.907	1.998
3252	142.098	468.966	2.005
3252.5	141.212	470.998	2.01
3253	140.737	471.301	2.009
3253.5	140.395	470.674	2.004
3254	140.343	471.249	2
3254.5	139.867	468.698	2
3255	139.291	465.652	2.008
3255.5	138.739	462.768	2.025
3256	138.359	459.937	2.041
3256.5	138.285	457.267	2.041
3257	137.65	458.409	2.028
3257.5	137.276	462.325	2.016
3258	136.079	465.795	2.016
3258.5	135.72	463.951	2.028
3259	136.199	460.07	2.045
3259.5	136.781	454.068	2.053
3260	137.708	448.555	2.044
3260.5	137.954	444.684	2.03
3261	138.66	445.244	2.024
3261.5	138.941	449.613	2.025
3262	139.242	452.613	2.027
3262.5	139.208	452.397	2.027
3263	139.431	449.396	2.028
3263.5	139.729	447.362	2.027
3264	139.762	446.353	2.021
3264.5	139.174	445.546	2.012
3265	138.246	446.746	2.003
3265.5	138.403	449.278	1.998
3266	138.56	451.839	1.998
3266.5	138.454	454.593	2.006
3267	137.918	454.502	2.02
3267.5	137.938	458.475	2.036
3268	138.137	458.408	2.048
3268.5	138.849	457.546	2.05
3269	139.019	452.158	2.034
3269.5	139.869	444.635	2.017
3270	140.547	441.506	2.018
3270.5	141.662	442.377	2.026
3271	140.043	443.528	2.024
3271.5	139.31	443.634	2.016
3272	139.327	440.29	2.014
3272.5	140.109	439.378	2.02
3273	139.132	438.277	2.032
3273.5	137.964	434.954	2.04
3274	137.557	435.275	2.038
3274.5	137.202	432.427	2.029
3275	138.13	427.744	2.019
3275.5	139.39	422.748	2.017
3276	141.518	420.104	2.026
3276.5	142.895	429.271	2.037
3277	143.408	440.886	2.037
3277.5	142.647	452.371	2.024
3278	142.693	457.602	2.005
3278.5	141.904	455.125	1.997
3279	140.001	445.934	2.018
3279.5	137.931	433.852	2.068
3280	136.256	425.164	2.125
3280.5	136.813	421.321	2.16
3281	136.606	425.544	2.17
3281.5	136.762	435.102	2.164
3282	136.709	442.983	2.147
3282.5	136.96	446.64	2.133
3283	137.603	452.647	2.139
3283.5	138.105	454.879	2.149
3284	137.937	455.27	2.145
3284.5	137.726	451.284	2.139
3285	137.207	448.453	2.152
3285.5	136.659	445.638	2.173
3286	135.797	440.311	2.187
3286.5	135.648	432.346	2.193
3287	136.32	428.466	2.197
3287.5	137.737	426.355	2.199
3288	138.433	427.959	2.197
3288.5	139.285	429.396	2.193
3289	139.821	431.074	2.188
3289.5	140.145	430.346	2.184
3290	139.079	427.634	2.183
3290.5	138.136	423.303	2.183
3291	137.403	418.224	2.183
3291.5	137.117	414.007	2.18
3292	137.093	409.957	2.178
3292.5	136.892	407.741	2.181
3293	136.554	406.136	2.187
3293.5	136.88	407.796	2.195
3294	137.415	408.683	2.202
3294.5	138.331	413.687	2.2
3295	139.153	419.962	2.191
3295.5	139.784	424.329	2.181
3296	140.464	425.872	2.176
3296.5	141.348	426.361	2.177
3297	141.676	426.467	2.181
3297.5	141.223	425.217	2.188
3298	140.456	421.648	2.184
3298.5	138.544	417.988	2.158
3299	137.34	416.782	2.161
3299.5	136.859	412.107	2.233
3300	137.383	403.097	2.323
3300.5	138.672	385.386	2.361
3301	136.893	372.896	2.308
3301.5	131.995	363.109	2.225
3302	129.212	360.052	2.168
3302.5	128.13	361.42	2.121
3303	127.703	364.992	2.058
3303.5	129.02	372.702	2.017
3304	129.772	380.5	2.028
3304.5	129.994	386.629	2.067
3305	129.264	387.148	2.094
3305.5	128.524	385.971	2.063
3306	127.433	382.547	1.998
3306.5	127.082	387.127	1.974
3307	126.826	390.179	2.02
3307.5	128.485	390.732	2.105
3308	129.137	396.344	2.167
3308.5	129.141	401.53	2.186
3309	129.039	407.704	2.186
3309.5	129.191	407.73	2.177
3310	130.454	404.534	2.16
3310.5	131.045	399.424	2.127
3311	132.487	401.293	2.075
3311.5	133.766	410.283	2.026
3312	134.152	407.619	2.006
3312.5	134.482	406.652	2.013
3313	133.641	406.435	2.026
3313.5	132.273	408.161	2.03
3314	132.641	412.666	2.021
3314.5	133.588	408.899	1.999
3315	134.148	411.745	1.981
3315.5	133.978	420.889	1.993
3316	133.259	427.97	2.026
3316.5	132.98	424.699	2.044
3317	133.152	420.435	2.04
3317.5	133.898	414.467	2.027
3318	133.964	408.458	2.018
3318.5	133.555	400.005	2.019
3319	133.292	399.631	2.031
3319.5	133.451	404.943	2.039
3320	133.324	409.477	2.032
3320.5	133.335	410.729	2.027
3321	133.698	408.795	2.032
3321.5	134.3	406.754	2.037
3322	133.996	405.091	2.034
3322.5	133.851	405.299	2.028
3323	134.021	408.473	2.025
3323.5	134.569	406.294	2.022
3324	134.903	403.651	2.023
3324.5	134.568	399.324	2.024
3325	134.539	400.518	2.02
3325.5	134.622	403.069	2.013
3326	134.772	408.07	2.017
3326.5	134.83	408.766	2.035
3327	134.689	410.839	2.051
3327.5	134.468	411.042	2.051
3328	134.298	410.75	2.046
3328.5	134.059	409.136	2.056
3329	134.355	404.683	2.082
3329.5	135.749	400.286	2.098
3330	135.589	395.875	2.085
3330.5	134.525	393.933	2.057
3331	133.239	393.878	2.04
3331.5	131.787	396.021	2.04
3332	130.173	398.823	2.046
3332.5	129.574	400.516	2.048
3333	130.588	401.031	2.05
3333.5	132.246	399.638	2.056
3334	133.456	397.391	2.06
3334.5	134.295	397.43	2.057
3335	133.775	397.697	2.054
3335.5	133.287	396.246	2.057
3336	132.947	396.668	2.061
3336.5	133.09	397.178	2.056
3337	133.637	397.775	2.049
3337.5	133.641	396.443	2.051
3338	134.04	395.8	2.061
3338.5	134.213	396.596	2.068
3339	134.447	402.523	2.066
3339.5	134.437	404.338	2.057
3340	134.378	406.479	2.049
3340.5	133.913	393.133	2.05
3341	133.279	385.63	2.055
3341.5	133.204	379.51	2.055
3342	133.255	379.245	2.048
3342.5	133.223	380.327	2.047
3343	132.466	381.535	2.054
3343.5	132.437	382.299	2.057
3344	132.707	382.973	2.05
3344.5	134.387	383.139	2.037
3345	136.075	383.24	2.026
3345.5	136.679	383.819	2.018
3346	136.764	385.38	2.009
3346.5	136.666	389.439	2.005
3347	135.605	392.537	2.008
3347.5	134.211	394.498	2.012
3348	132.978	393.404	2.016
3348.5	132.375	392.734	2.018
3349	132.202	392.544	2.016
3349.5	132.38	390.795	2.01
3350	132.32	388.407	2.011
3350.5	131.884	381.92	2.022
3351	130.69	378.726	2.036
3351.5	130.93	375.529	2.043
3352	131.204	382.604	2.041
3352.5	132.286	386.494	2.032
3353	132.074	391.445	2.018
3353.5	133.265	395.329	2.01
3354	134.896	400.103	2.019
3354.5	134.557	402.917	2.038
3355	133.827	404.074	2.05
3355.5	131.936	404.782	2.051
3356	131.935	407.008	2.049
3356.5	133.24	412.663	2.046
3357	135.203	420.264	2.033
3357.5	136.045	428.508	2.017
3358	136.685	433.672	2.026
3358.5	136.72	434.684	2.08
3359	137.86	431.773	2.159
3359.5	137.353	427.974	2.216
3360	137.615	424.311	2.232
3360.5	138.458	423.889	2.227
3361	139.785	425.633	2.216
3361.5	140.04	428.46	2.204
3362	140.084	431.176	2.198
3362.5	140.104	434.68	2.201
3363	140.206	434.068	2.208
3363.5	139.683	430.001	2.211
3364	138.889	423.497	2.209
3364.5	138.21	417.665	2.207
3365	137.885	409.683	2.208
3365.5	137.46	401.568	2.21
3366	136.674	394.201	2.21
3366.5	135.014	390.258	2.208
3367	132.877	390.382	2.202
3367.5	131.587	393.497	2.189
3368	131.818	399.676	2.17
3368.5	133.665	407.126	2.164
3369	135.382	414.466	2.181
3369.5	136.405	419.107	2.204
3370	137.087	417.565	2.214
3370.5	136.936	409.898	2.213
3371	137.347	400.843	2.213
3371.5	137.808	394.405	2.21
3372	139.123	396.834	2.184
3372.5	139.867	408.192	2.126
3373	140.485	420.245	2.067
3373.5	140.646	428.373	2.05
3374	141.234	435.77	2.09
3374.5	140.753	435.908	2.161
3375	140.217	436.433	2.211
3375.5	139.071	427.484	2.221
3376	138.361	417.184	2.216
3376.5	137.684	409.831	2.218
3377	136.493	405.726	2.228
3377.5	134.882	400.493	2.24
3378	133.437	396.24	2.248
3378.5	132.646	393.233	2.252
3379	132.705	392.12	2.253
3379.5	132.911	390.723	2.251
3380	132.844	390.328	2.245
3380.5	132.31	391.411	2.241
3381	132.188	391.117	2.239
3381.5	132.086	390.023	2.236
3382	132.314	387.571	2.235
3382.5	132.283	383.701	2.235
3383	132.069	376.166	2.232
3383.5	131.302	367.378	2.226
3384	129.759	358.193	2.22
3384.5	127.993	353.207	2.219
3385	126.621	351.546	2.225
3385.5	125.624	355.73	2.236
3386	125.656	358.822	2.246
3386.5	125.123	359.549	2.256
3387	125.67	360.332	2.256
3387.5	126.848	360.691	2.243
3388	128.501	365.256	2.221
3388.5	130.016	370.45	2.199
3389	131.718	379.969	2.176
3389.5	133.108	384.409	2.157
3390	134.158	387.17	2.15
3390.5	134.046	389.898	2.149
3391	134.006	393.713	2.129
3391.5	134.071	397.104	2.09
3392	134.06	401.675	2.069
3392.5	134.491	402.878	2.083
3393	134.145	403.975	2.107
3393.5	133.895	404.721	2.117
3394	134.129	405.923	2.109
3394.5	134.806	408.508	2.089
3395	135.431	410.342	2.069
3395.5	135.848	413.236	2.055
3396	136.818	417.85	2.046
3396.5	138.053	423.576	2.038
3397	139.385	427.97	2.033
3397.5	140.036	427.211	2.025
3398	139.829	426.169	2.016
3398.5	139.229	426.39	2.016
3399	138.3	426.425	2.029
3399.5	136.671	424.162	2.047
3400	135.263	420.218	2.057
3400.5	134.773	417.132	2.061
3401	135.298	414.675	2.06
3401.5	135.716	414.038	2.058
3402	135.741	415.752	2.057
3402.5	135.638	422.245	2.06
3403	135.057	426.087	2.063
3403.5	134.714	426.657	2.064
3404	134.047	424.834	2.058
3404.5	133.803	422.617	2.048
3405	133.915	427.202	2.044
3405.5	133.147	430.766	2.05
3406	132.977	433.072	2.058
3406.5	132.871	433.265	2.061
3407	133.512	434.94	2.048
3407.5	133.765	436.129	2.021
3408	134.247	433.127	2.007
