x,z,sig_zz,sig_xx
0, 150, -1.76904e+006, -1.62332e+006
2, 150, -1.76201e+006, -1.43221e+006
4, 150, -1.74003e+006, -1.24813e+006
6, 150, -1.73117e+006, -1.06631e+006
8, 150, -1.72592e+006, -891207
10, 150, -1.72592e+006, -891207
12, 150, -1.71832e+006, -727270
14, 150, -1.64163e+006, -708097
16, 150, -1.7172e+006, -531557
18, 150, -1.5942e+006, -479977
20, 150, -1.60975e+006, -263451
22, 150, -1.61027e+006, -265517
24, 150, -1.52102e+006, -153908
26, 150, -1.52102e+006, -153908
28, 150, -1.4669e+006, -61806.8
30, 150, -1.4669e+006, -61806.8
32, 150, -1.38394e+006, 6205.19
34, 150, -1.38394e+006, 6205.19
36, 150, -1.31552e+006, 61336.1
38, 150, -1.31552e+006, 61336.1
40, 150, -1.31552e+006, 61336.1
42, 150, -1.18711e+006, 104416
44, 150, -1.18711e+006, 104416
46, 150, -1.10672e+006, 124513
48, 150, -1.10672e+006, 124513
50, 150, -1.12572e+006, 122381
52, 150, -1.00624e+006, 139679
54, 150, -1.00624e+006, 139679
56, 150, -876117, 151271
58, 150, -906591, 131419
60, 150, -906591, 131419
62, 150, -813708, 154640
64, 150, -846423, 129004
66, 150, -846423, 129004
68, 150, -846423, 129004
70, 150, -707220, 163805
72, 150, -707220, 163805
74, 150, -707220, 163805
76, 150, -693111, 110351
78, 150, -693111, 110351
80, 150, -693111, 110351
82, 150, -693111, 110351
84, 150, -595124, 134847
86, 150, -593630, 102232
88, 150, -593630, 102232
90, 150, -532559, 117499
92, 150, -532559, 117499
94, 150, -532559, 117499
96, 150, -547972, 87463.4
98, 150, -471026, 106700
100, 150, -471026, 106700
102, 150, -471026, 106700
104, 150, -471026, 106700
106, 150, -498880, 74042.3
108, 150, -421904, 93285.9
110, 150, -459370, 62024
112, 150, -459370, 62024
114, 150, -459370, 62024
116, 150, -390046, 79355.3
118, 150, -390046, 79355.3
120, 150, -390046, 79355.3
122, 150, -390046, 79355.3
124, 150, -390363, 56669.1
126, 150, -390363, 56669.1
128, 150, -358680, 55621.6
130, 150, -358680, 55621.6
132, 150, -358680, 55621.6
134, 150, -377107, 43091.3
136, 150, -377107, 43091.3
138, 150, -334322, 53787.6
140, 150, -334322, 53787.6
142, 150, -334322, 53787.6
144, 150, -334322, 53787.6
146, 150, -334322, 53787.6
148, 150, -311693, 40480.7
150, 150, -311693, 40480.7
152, 150, -311693, 40480.7
154, 150, -318830, 32348.8
156, 150, -318830, 32348.8
158, 150, -318830, 32348.8
160, 150, -296640, 28150.5
162, 150, -296640, 28150.5
164, 150, -296640, 28150.5
166, 150, -296640, 28150.5
168, 150, -296640, 28150.5
170, 150, -296640, 28150.5
172, 150, -296640, 28150.5
174, 150, -284871, 17751.5
176, 150, -284871, 17751.5
178, 150, -284871, 17751.5
180, 150, -284871, 17751.5
182, 150, -284871, 17751.5
184, 150, -284871, 17751.5
186, 150, -278128, 19437.3
188, 150, -278128, 19437.3
190, 150, -278128, 19437.3
192, 150, -278128, 19437.3
194, 150, -278128, 19437.3
196, 150, -278128, 19437.3
198, 150, -278128, 19437.3
