x,z,sig_zz,sig_xx
0, 150, -295298, -223676
2, 150, -295298, -223676
4, 150, -292416, -180023
6, 150, -292416, -180023
8, 150, -288427, -145088
10, 150, -288427, -145088
12, 150, -274896, -139561
14, 150, -293429, -90148.6
16, 150, -268952, -84029.7
18, 150, -268952, -84029.7
20, 150, -278143, -53494.9
22, 150, -248585, -46105.4
24, 150, -248585, -46105.4
26, 150, -248585, -46105.4
28, 150, -240000, -947.358
30, 150, -240000, -947.358
32, 150, -240000, -947.358
34, 150, -240000, -947.358
36, 150, -205827, 7595.77
38, 150, -205827, 7595.77
40, 150, -205827, 7595.77
42, 150, -206966, 13941.5
44, 150, -175453, 21819.7
46, 150, -175453, 21819.7
48, 150, -175453, 21819.7
50, 150, -178961, 17054.4
52, 150, -178961, 17054.4
54, 150, -139894, 26820.9
56, 150, -139894, 26820.9
58, 150, -152715, 20293.7
60, 150, -152715, 20293.7
62, 150, -152715, 20293.7
64, 150, -119818, 28517.8
66, 150, -119818, 28517.8
68, 150, -119818, 28517.8
70, 150, -119818, 28517.8
72, 150, -129143, 16986.2
74, 150, -129143, 16986.2
76, 150, -129143, 16986.2
78, 150, -97170.7, 24979.3
80, 150, -97170.7, 24979.3
82, 150, -101993, 16732.8
84, 150, -101993, 16732.8
86, 150, -101993, 16732.8
88, 150, -101993, 16732.8
90, 150, -101993, 16732.8
92, 150, -85417.5, 20876.8
94, 150, -85417.5, 20876.8
96, 150, -80806.1, 15303.4
98, 150, -80806.1, 15303.4
100, 150, -80806.1, 15303.4
102, 150, -80806.1, 15303.4
104, 150, -80806.1, 15303.4
106, 150, -80806.1, 15303.4
108, 150, -73044.6, 13894.8
110, 150, -65929.8, 11489.8
112, 150, -65929.8, 11489.8
114, 150, -65929.8, 11489.8
116, 150, -65929.8, 11489.8
118, 150, -65929.8, 11489.8
120, 150, -65929.8, 11489.8
122, 150, -65929.8, 11489.8
124, 150, -65929.8, 11489.8
126, 150, -56751.8, 7329.94
128, 150, -56751.8, 7329.94
130, 150, -56751.8, 7329.94
132, 150, -56751.8, 7329.94
134, 150, -56751.8, 7329.94
136, 150, -56751.8, 7329.94
138, 150, -56751.8, 7329.94
140, 150, -56751.8, 7329.94
142, 150, -56751.8, 7329.94
144, 150, -56751.8, 7329.94
146, 150, -56751.8, 7329.94
148, 150, -49113.5, 5734.06
150, 150, -49113.5, 5734.06
152, 150, -49113.5, 5734.06
154, 150, -49113.5, 5734.06
156, 150, -49113.5, 5734.06
158, 150, -49113.5, 5734.06
160, 150, -49113.5, 5734.06
162, 150, -49113.5, 5734.06
164, 150, -49113.5, 5734.06
166, 150, -49113.5, 5734.06
168, 150, -49113.5, 5734.06
170, 150, -49113.5, 5734.06
172, 150, -45554.7, 2751.48
174, 150, -45554.7, 2751.48
176, 150, -45554.7, 2751.48
178, 150, -45554.7, 2751.48
180, 150, -45554.7, 2751.48
182, 150, -45554.7, 2751.48
184, 150, -45554.7, 2751.48
186, 150, -45554.7, 2751.48
188, 150, -45554.7, 2751.48
190, 150, -45554.7, 2751.48
192, 150, -45554.7, 2751.48
194, 150, -45554.7, 2751.48
196, 150, -45554.7, 2751.48
198, 150, -45554.7, 2751.48
