x,z,sig_zz,sig_xx
0, 150, -1.17936e+006, -1.08222e+006
2, 150, -1.17467e+006, -954804
4, 150, -1.16002e+006, -832087
6, 150, -1.15412e+006, -710871
8, 150, -1.15061e+006, -594138
10, 150, -1.15061e+006, -594138
12, 150, -1.14554e+006, -484847
14, 150, -1.09442e+006, -472065
16, 150, -1.1448e+006, -354372
18, 150, -1.0628e+006, -319985
20, 150, -1.07317e+006, -175634
22, 150, -1.07351e+006, -177011
24, 150, -1.01401e+006, -102605
26, 150, -1.01401e+006, -102605
28, 150, -977930, -41204.5
30, 150, -977930, -41204.5
32, 150, -922625, 4136.79
34, 150, -922625, 4136.79
36, 150, -877010, 40890.7
38, 150, -877010, 40890.7
40, 150, -877010, 40890.7
42, 150, -791409, 69610.5
44, 150, -791409, 69610.5
46, 150, -737817, 83008.7
48, 150, -737817, 83008.7
50, 150, -750481, 81587.1
52, 150, -670828, 93119.5
54, 150, -670828, 93119.5
56, 150, -584078, 100847
58, 150, -604394, 87612.8
60, 150, -604394, 87612.8
62, 150, -542472, 103093
64, 150, -564282, 86002.6
66, 150, -564282, 86002.6
68, 150, -564282, 86002.6
70, 150, -471480, 109203
72, 150, -471480, 109203
74, 150, -471480, 109203
76, 150, -462074, 73567.3
78, 150, -462074, 73567.3
80, 150, -462074, 73567.3
82, 150, -462074, 73567.3
84, 150, -396750, 89898
86, 150, -395753, 68154.9
88, 150, -395753, 68154.9
90, 150, -355039, 78332.4
92, 150, -355039, 78332.4
94, 150, -355039, 78332.4
96, 150, -365315, 58308.9
98, 150, -314017, 71133.3
100, 150, -314017, 71133.3
102, 150, -314017, 71133.3
104, 150, -314017, 71133.3
106, 150, -332587, 49361.5
108, 150, -281269, 62190.6
110, 150, -306247, 41349.3
112, 150, -306247, 41349.3
114, 150, -306247, 41349.3
116, 150, -260031, 52903.5
118, 150, -260031, 52903.5
120, 150, -260031, 52903.5
122, 150, -260031, 52903.5
124, 150, -260242, 37779.4
126, 150, -260242, 37779.4
128, 150, -239120, 37081.1
130, 150, -239120, 37081.1
132, 150, -239120, 37081.1
134, 150, -251405, 28727.5
136, 150, -251405, 28727.5
138, 150, -222881, 35858.4
140, 150, -222881, 35858.4
142, 150, -222881, 35858.4
144, 150, -222881, 35858.4
146, 150, -222881, 35858.4
148, 150, -207796, 26987.2
150, 150, -207796, 26987.2
152, 150, -207796, 26987.2
154, 150, -212553, 21565.9
156, 150, -212553, 21565.9
158, 150, -212553, 21565.9
160, 150, -197760, 18767
162, 150, -197760, 18767
164, 150, -197760, 18767
166, 150, -197760, 18767
168, 150, -197760, 18767
170, 150, -197760, 18767
172, 150, -197760, 18767
174, 150, -189914, 11834.4
176, 150, -189914, 11834.4
178, 150, -189914, 11834.4
180, 150, -189914, 11834.4
182, 150, -189914, 11834.4
184, 150, -189914, 11834.4
186, 150, -185418, 12958.2
188, 150, -185418, 12958.2
190, 150, -185418, 12958.2
192, 150, -185418, 12958.2
194, 150, -185418, 12958.2
196, 150, -185418, 12958.2
198, 150, -185418, 12958.2
