x,z,sig_zz,sig_xx
0, 150, -2.94839e+006, -2.70554e+006
2, 150, -2.93668e+006, -2.38701e+006
4, 150, -2.90005e+006, -2.08022e+006
6, 150, -2.88529e+006, -1.77718e+006
8, 150, -2.87653e+006, -1.48534e+006
10, 150, -2.87653e+006, -1.48534e+006
12, 150, -2.86386e+006, -1.21212e+006
14, 150, -2.73604e+006, -1.18016e+006
16, 150, -2.862e+006, -885929
18, 150, -2.657e+006, -799961
20, 150, -2.68292e+006, -439086
22, 150, -2.68379e+006, -442528
24, 150, -2.53504e+006, -256513
26, 150, -2.53504e+006, -256513
28, 150, -2.44483e+006, -103011
30, 150, -2.44483e+006, -103011
32, 150, -2.30656e+006, 10342
34, 150, -2.30656e+006, 10342
36, 150, -2.19253e+006, 102227
38, 150, -2.19253e+006, 102227
40, 150, -2.19253e+006, 102227
42, 150, -1.97852e+006, 174026
44, 150, -1.97852e+006, 174026
46, 150, -1.84454e+006, 207522
48, 150, -1.84454e+006, 207522
50, 150, -1.8762e+006, 203968
52, 150, -1.67707e+006, 232799
54, 150, -1.67707e+006, 232799
56, 150, -1.4602e+006, 252118
58, 150, -1.51099e+006, 219032
60, 150, -1.51099e+006, 219032
62, 150, -1.35618e+006, 257733
64, 150, -1.4107e+006, 215006
66, 150, -1.4107e+006, 215006
68, 150, -1.4107e+006, 215006
70, 150, -1.1787e+006, 273008
72, 150, -1.1787e+006, 273008
74, 150, -1.1787e+006, 273008
76, 150, -1.15519e+006, 183918
78, 150, -1.15519e+006, 183918
80, 150, -1.15519e+006, 183918
82, 150, -1.15519e+006, 183918
84, 150, -991874, 224745
86, 150, -989383, 170387
88, 150, -989383, 170387
90, 150, -887598, 195831
92, 150, -887598, 195831
94, 150, -887598, 195831
96, 150, -913287, 145772
98, 150, -785043, 177833
100, 150, -785043, 177833
102, 150, -785043, 177833
104, 150, -785043, 177833
106, 150, -831467, 123404
108, 150, -703173, 155477
110, 150, -765617, 103373
112, 150, -765617, 103373
114, 150, -765617, 103373
116, 150, -650077, 132259
118, 150, -650077, 132259
120, 150, -650077, 132259
122, 150, -650077, 132259
124, 150, -650604, 94448.4
126, 150, -650604, 94448.4
128, 150, -597800, 92702.6
130, 150, -597800, 92702.6
132, 150, -597800, 92702.6
134, 150, -628512, 71818.8
136, 150, -628512, 71818.8
138, 150, -557203, 89646
140, 150, -557203, 89646
142, 150, -557203, 89646
144, 150, -557203, 89646
146, 150, -557203, 89646
148, 150, -519489, 67467.9
150, 150, -519489, 67467.9
152, 150, -519489, 67467.9
154, 150, -531384, 53914.7
156, 150, -531384, 53914.7
158, 150, -531384, 53914.7
160, 150, -494400, 46917.6
162, 150, -494400, 46917.6
164, 150, -494400, 46917.6
166, 150, -494400, 46917.6
168, 150, -494400, 46917.6
170, 150, -494400, 46917.6
172, 150, -494400, 46917.6
174, 150, -474785, 29585.9
176, 150, -474785, 29585.9
178, 150, -474785, 29585.9
180, 150, -474785, 29585.9
182, 150, -474785, 29585.9
184, 150, -474785, 29585.9
186, 150, -463546, 32395.5
188, 150, -463546, 32395.5
190, 150, -463546, 32395.5
192, 150, -463546, 32395.5
194, 150, -463546, 32395.5
196, 150, -463546, 32395.5
198, 150, -463546, 32395.5
