Time (s)	F (lb)	Xa (in)	Ya (in)
602.78	92.3036	0.000211397	1.79065E-05
603.78	90.12814	0.000221098	1.76467E-05
604.78	92.51683	0.000220868	1.5778E-05
605.78	95.47507	0.000229355	1.5634E-05
606.78	94.47148	0.000239413	1.5384E-05
607.78	96.7088	0.00024472	1.3953E-05
608.78	97.29776	0.000259913	1.38274E-05
609.78	97.34364	0.00026814	1.43416E-05
610.78	99.00204	0.000272294	1.41151E-05
611.78	101.9056	0.00028406	1.31608E-05
612.78	99.21413	0.000282672	5.22963E-06
613.78	113.2233	0.000294536	7.0032E-06
614.78	112.7128	0.000301414	6.8268E-06
615.78	115.4413	0.000314802	6.48108E-06
616.78	116.4615	0.000320342	7.29272E-06
617.78	111.5816	0.000330162	5.09951E-06
618.78	116.4077	0.00033976	6.99487E-06
619.78	117.3566	0.000339605	5.62798E-06
620.78	120.4716	0.000354706	6.14317E-06
621.78	120.4037	0.000360324	5.25586E-06
622.78	121.063	0.00037299	4.68513E-06
623.78	122.9806	0.000375515	5.8154E-06
624.78	123.4664	0.000385274	5.6188E-06
625.78	124.4414	0.000394271	4.77793E-06
626.78	124.573	0.000402227	4.69845E-06
627.78	125.2869	0.000409456	2.69416E-06
628.78	127.0916	0.000420913	2.64583E-06
629.78	127.1096	0.00042288	2.45015E-06
630.78	129.7469	0.000437362	2.50054E-06
631.78	126.0217	0.000442911	8.4268E-07
632.78	128.5736	0.000451459	1.02691E-06
633.78	129.7816	0.000457853	6.71275E-07
634.78	132.9279	0.000462063	5.51285E-07
635.78	133.7147	0.000473711	5.01905E-07
636.78	134.4001	0.000476966	2.6899E-07
637.78	132.8283	0.000484609	-3.74525E-07
638.78	135.6617	0.000493832	-1.49294E-06
639.78	136.4022	0.000509672	-7.2262E-07
640.78	138.1342	0.000513195	2.9575E-08
641.78	136.3523	0.000521211	-1.90408E-06
642.78	141.06	0.000532878	-4.37175E-07
643.78	138.0027	0.000536913	-2.69842E-06
644.78	138.4459	0.000552304	-2.67567E-06
645.78	141.2457	0.000553712	-2.54568E-06
646.78	145.3188	0.000562276	-1.5249E-06
647.78	144.4304	0.000573887	-2.19033E-06
648.78	143.4713	0.000575224	-3.3814E-06
649.78	145.3788	0.000582483	-4.34789E-06
650.78	143.1871	0.000588795	-5.63526E-06
651.78	146.2495	0.000604028	-5.0207E-06
652.78	148.9629	0.000605993	-5.30751E-06
653.78	149.8403	0.000623766	-5.46369E-06
654.78	149.1367	0.000622145	-5.24003E-06
655.78	150.5186	0.000633461	-7.16697E-06
656.78	152.6317	0.000646124	-6.14095E-06
657.78	153.3913	0.000653053	-7.18908E-06
658.78	154.1156	0.000653621	-8.14681E-06
659.78	155.5281	0.000670676	-8.53476E-06
660.78	159.255	0.000676888	-7.67766E-06
661.78	156.4859	0.000682665	-9.8136E-06
662.78	159.3195	0.000690866	-9.67416E-06
663.78	160.2825	0.000701082	-9.60526E-06
664.78	160.3955	0.000702811	-9.95902E-06
665.78	162.0427	0.000711324	-1.13039E-05
666.78	162.1485	0.00072653	-1.17023E-05
667.78	164.3878	0.000726517	-1.17503E-05
668.78	165.2171	0.000738899	-1.1974E-05
669.78	162.7569	0.000744554	-1.35144E-05
670.78	166.444	0.000753948	-1.20198E-05
671.78	165.0497	0.000766713	-1.45908E-05
672.78	166.7176	0.00077508	-1.49372E-05
673.78	171.6642	0.000778256	-1.38782E-05
674.78	170.8853	0.000788795	-1.48945E-05
675.78	171.5907	0.000789914	-1.56251E-05
676.78	174.1511	0.000800605	-1.54045E-05
677.78	171.3656	0.000810746	-1.65822E-05
678.78	172.8239	0.000816378	-1.67266E-05
679.78	173.39	0.000826992	-1.69445E-05
680.78	176.0739	0.000831685	-1.76075E-05
681.78	176.917	0.000848882	-1.89653E-05
682.78	176.8295	0.000855581	-1.87438E-05
683.78	177.0113	0.000856119	-1.87631E-05
684.78	178.6654	0.00086251	-1.85347E-05
685.78	178.9277	0.000871798	-1.99583E-05
686.78	180.8987	0.000879413	-1.97425E-05
687.78	182.6366	0.000890161	-1.9086E-05
688.78	185.4289	0.000898118	-2.04058E-05
689.78	184.0966	0.000904367	-2.12959E-05
690.78	186.5158	0.000919244	-2.08608E-05
691.78	187.5198	0.000922933	-2.07963E-05
692.78	184.9344	0.00092793	-2.22574E-05
693.78	188.3256	0.000941726	-2.22491E-05
694.78	191.4323	0.000949034	-2.21305E-05
695.78	192.3524	0.000960152	-2.34651E-05
696.78	192.7496	0.000960181	-2.36225E-05
697.78	193.9288	0.00097207	-2.2988E-05
698.78	193.2612	0.000980451	-2.45189E-05
699.78	194.553	0.000986529	-2.40542E-05
700.78	195.563	0.000996169	-2.40797E-05
701.78	198.0742	0.001008701	-2.52445E-05
702.78	197.166	0.001008011	-2.54761E-05
703.78	197.8789	0.00101944	-2.66246E-05
704.78	203.1244	0.001026787	-2.549E-05
705.78	201.8777	0.001040662	-2.68943E-05
706.78	205.4403	0.001045302	-2.61098E-05
707.78	202.7083	0.001048024	-2.76877E-05
708.78	204.6054	0.001064962	-2.72207E-05
709.78	205.4687	0.001063769	-2.85051E-05
710.78	209.1021	0.00107139	-2.76476E-05
711.78	208.8179	0.001085953	-2.9135E-05
712.78	207.2277	0.001092077	-3.14855E-05
713.78	206.0319	0.001098843	-3.26277E-05
714.78	211.1021	0.001113267	-3.20603E-05
715.78	212.0779	0.001113021	-3.13683E-05
716.78	210.3963	0.001123231	-3.29402E-05
717.78	214.4053	0.001134242	-3.29789E-05
718.78	212.2188	0.001142725	-3.50456E-05
719.78	215.6499	0.001147752	-3.40858E-05
720.78	213.2908	0.001157873	-3.65994E-05
721.78	212.8302	0.001164256	-3.70765E-05
722.78	215.5187	0.001176565	-3.65182E-05
723.78	201.648	0.001180141	-3.8884E-05
724.78	206.6948	0.001190539	-3.67243E-05
725.78	223.5295	0.001202376	-3.5389E-05
726.78	225.8028	0.001205315	-3.63423E-05
727.78	226.5634	0.00121272	-3.70893E-05
728.78	224.0966	0.001220991	-3.92071E-05
729.78	224.2143	0.001229204	-3.9438E-05
730.78	226.6882	0.001239959	-3.80064E-05
731.78	226.4026	0.001240827	-3.94477E-05
732.78	228.1883	0.00125796	-3.99016E-05
733.78	229.0239	0.001268759	-4.02936E-05
734.78	230.6597	0.001263168	-4.045E-05
735.78	231.827	0.001274125	-4.12986E-05
736.78	230.798	0.001289385	-4.14267E-05
737.78	233.1514	0.001290143	-4.06877E-05
738.78	231.7919	0.00130582	-4.16446E-05
739.78	234.0561	0.001315067	-4.18239E-05
740.78	234.0188	0.001316779	-4.28934E-05
741.78	237.0378	0.001326524	-4.24258E-05
742.78	240.9327	0.001337972	-4.20989E-05
743.78	238.7271	0.001339248	-4.45568E-05
744.78	239.9062	0.001343168	-4.37326E-05
745.78	239.8388	0.00135188	-4.53975E-05
746.78	242.0902	0.001362439	-4.39845E-05
747.78	243.9294	0.001372552	-4.36011E-05
748.78	243.0043	0.001374303	-4.48977E-05
749.78	246.207	0.00139287	-4.51434E-05
750.78	246.5482	0.001398299	-4.62326E-05
751.78	246.5593	0.001410532	-4.74258E-05
752.78	249.2422	0.001417741	-4.69567E-05
753.78	252.4695	0.001421676	-4.59353E-05
754.78	248.4236	0.001431151	-4.75944E-05
755.78	252.338	0.001440594	-4.7752E-05
756.78	252.5522	0.001450671	-4.77507E-05
757.78	251.6613	0.001450701	-4.95596E-05
758.78	253.9358	0.001458114	-5.04688E-05
759.78	258.6612	0.00147387	-5.00116E-05
760.78	260.416	0.001476959	-4.97883E-05
761.78	259.5078	0.001486245	-5.11701E-05
762.78	260.1795	0.001494801	-0.000051247
763.78	262.4686	0.001501767	-5.07593E-05
764.78	261.7919	0.001510573	-5.22484E-05
765.78	260.5178	0.00151524	-5.41618E-05
766.78	260.6635	0.001525892	-5.52143E-05
767.78	264.8287	0.001533528	-5.42438E-05
768.78	264.9055	0.001545328	-5.55438E-05
769.78	262.7612	0.001548801	-5.62243E-05
770.78	267.1899	0.001556682	-5.5587E-05
771.78	267.2969	0.001561798	-5.6463E-05
772.78	270.3491	0.001579069	-5.56447E-05
773.78	270.7393	0.001585911	-5.64675E-05
774.78	272.0232	0.0015942	-5.70552E-05
775.78	276.0851	0.001599689	-5.73924E-05
776.78	274.2307	0.001605946	-5.86542E-05
777.78	273.6241	0.001619496	-5.98329E-05
778.78	273.7834	0.001617196	-6.00475E-05
779.78	274.7912	0.001630827	-6.0598E-05
780.78	274.713	0.001634859	-6.01782E-05
781.78	273.7323	0.001641473	-6.09607E-05
782.78	279.049	0.001658344	-6.02914E-05
783.78	279.5404	0.001661712	-6.08062E-05
784.78	279.9345	0.001672181	-6.211E-05
785.78	282.0342	0.001681791	-6.23561E-05
786.78	283.2648	0.001682932	-6.30014E-05
787.78	284.8036	0.001700234	-6.28752E-05
788.78	282.7692	0.001697027	-6.39084E-05
789.78	285.2329	0.001711098	-6.37495E-05
790.78	286.701	0.001712775	-6.38106E-05
791.78	289.5984	0.001730875	-6.39922E-05
792.78	287.6	0.001738105	-6.51986E-05
793.78	289.8314	0.001743795	-6.49666E-05
794.78	289.3077	0.001752026	-6.57048E-05
795.78	289.9614	0.001757219	-6.6391E-05
796.78	289.7011	0.001766436	-6.77195E-05
797.78	294.2274	0.001776249	-0.000067211
798.78	293.9133	0.001783576	-6.75523E-05
799.78	293.4921	0.001793286	-6.79479E-05
800.78	298.2596	0.001796173	-6.78443E-05
801.78	296.362	0.001801771	-6.89707E-05
802.78	297.3317	0.001808079	-6.9852E-05
803.78	300.0182	0.00182507	-7.02003E-05
804.78	297.9865	0.001827852	-7.14903E-05
805.78	301.4663	0.001834965	-7.11476E-05
806.78	303.9818	0.00184843	-7.04538E-05
807.78	303.4521	0.001860214	-7.15667E-05
808.78	301.9193	0.001861156	-7.35192E-05
809.78	305.8488	0.001867048	-7.36105E-05
810.78	307.8473	0.001874772	-7.32779E-05
811.78	310.1999	0.001888804	-7.35635E-05
812.78	306.2007	0.001899443	-7.57771E-05
813.78	310.9453	0.001910045	-7.5394E-05
814.78	313.0047	0.001915837	-7.46712E-05
815.78	308.5992	0.00191316	-7.65137E-05
816.78	313.0782	0.001923986	-7.61051E-05
817.78	311.4836	0.00193523	-7.84116E-05
818.78	314.8521	0.001945345	-7.84612E-05
819.78	316.7677	0.001945177	-7.88255E-05
820.78	318.3352	0.001962576	-7.89735E-05
821.78	318.69	0.001961899	-7.96E-05
822.78	318.847	0.001978026	-8.02657E-05
823.78	319.2921	0.001981187	-8.12312E-05
824.78	319.3799	0.001990855	-8.16265E-05
825.78	321.233	0.001997188	-8.10602E-05
826.78	321.9657	0.002007194	-8.2031E-05
827.78	323.9261	0.002020551	-8.29256E-05
828.78	328.5916	0.002024824	-8.26286E-05
829.78	325.8315	0.002029471	-8.33029E-05
830.78	326.8738	0.002041266	-8.33362E-05
831.78	328.4172	0.00204823	-8.38964E-05
832.78	329.9917	0.002062517	-8.42867E-05
833.78	327.7064	0.002059517	-8.54913E-05
834.78	328.9699	0.002071339	-8.62086E-05
835.78	332.3068	0.002080944	-8.57144E-05
836.78	332.8137	0.002088351	-8.60529E-05
837.78	333.8987	0.002096197	-8.62187E-05
838.78	337.5346	0.002108746	-8.67393E-05
839.78	340.0556	0.002116752	-8.55912E-05
840.78	333.3522	0.002116682	-8.81528E-05
841.78	338.3476	0.002131271	-8.70778E-05
842.78	336.3913	0.002136128	-8.89588E-05
843.78	340.2607	0.002145623	-8.80934E-05
844.78	343.1247	0.002149466	-8.7603E-05
845.78	344.8396	0.002162221	-8.8283E-05
846.78	343.6379	0.002173355	-8.94139E-05
847.78	339.0879	0.002177809	-9.10763E-05
848.78	343.4345	0.002185969	-9.1023E-05
849.78	345.4667	0.00219383	-9.10835E-05
850.78	348.8598	0.002201419	-9.09015E-05
851.78	352.0675	0.002209775	-9.09566E-05
852.78	346.5267	0.002211168	-9.37045E-05
853.78	355.2529	0.002228316	-9.23668E-05
854.78	351.8592	0.002237472	-9.38627E-05
855.78	351.3382	0.002242566	-9.44097E-05
856.78	357.0269	0.002246556	-9.33666E-05
857.78	358.0161	0.002257952	-9.35938E-05
858.78	357.8356	0.002268774	-9.57277E-05
859.78	360.1147	0.002276397	-9.52492E-05
860.78	357.629	0.002281907	-9.71217E-05
861.78	361.3557	0.002293772	-9.74059E-05
862.78	360.0793	0.00229097	-9.78356E-05
863.78	363.8474	0.002310008	-9.85677E-05
864.78	366.2496	0.002311449	-9.80703E-05
865.78	363.6069	0.002322475	-9.95444E-05
866.78	363.2657	0.002332791	-0.000100836
867.78	366.5801	0.002342189	-0.000101568
868.78	365.9486	0.002339732	-0.000101545
869.78	371.1135	0.002351602	-0.000101729
870.78	370.5813	0.002365804	-0.000102943
871.78	372.6552	0.002368038	-0.000103107
872.78	369.8749	0.00237766	-0.000105242
873.78	374.6735	0.002384099	-0.000104156
874.78	373.5581	0.002395939	-0.000104904
875.78	375.6185	0.002401354	-0.000105959
876.78	377.5542	0.002410696	-0.000105193
877.78	376.7917	0.002423161	-0.000106932
878.78	380.4214	0.002431271	-0.000107372
879.78	379.6006	0.002430093	-0.000107778
880.78	379.3174	0.002442792	-0.000109226
881.78	380.5424	0.002447409	-0.000108439
882.78	384.3204	0.002462162	-0.000108019
883.78	381.6894	0.002467242	-0.000110146
884.78	384.1968	0.002468188	-0.000110479
885.78	389.3774	0.002486379	-0.000110056
886.78	391.1783	0.002490823	-0.000110024
887.78	391.8333	0.002494273	-0.000110971
888.78	393.5062	0.00250745	-0.000110903
889.78	393.3474	0.002514956	-0.000111001
890.78	390.5387	0.002523822	-0.000113124
891.78	393.4685	0.002529796	-0.000112823
892.78	392.1168	0.002536834	-0.000114457
893.78	392.6188	0.002541757	-0.000115396
894.78	402.1745	0.002556146	-0.000113786
895.78	398.0611	0.002562655	-0.000116117
896.78	401.9696	0.002568669	-0.000115026
897.78	398.258	0.002578011	-0.000116817
898.78	400.9394	0.002579302	-0.000116488
899.78	400.8168	0.00259568	-0.000117442
900.78	401.4135	0.002597954	-0.000118353
901.78	406.2438	0.0026146	-0.000119011
902.78	405.1497	0.002614748	-0.000119714
903.78	407.3538	0.002621689	-0.000120151
904.78	407.3617	0.002632765	-0.000120176
905.78	410.8416	0.002639411	-0.000119853
906.78	411.5616	0.002653573	-0.000120587
907.78	411.7888	0.002660633	-0.000121449
908.78	410.2783	0.002668036	-0.000123086
909.78	416.5813	0.002678707	-0.000122269
910.78	415.2857	0.002682398	-0.000122967
911.78	413.1938	0.00268279	-0.000124609
912.78	417.0164	0.002693459	-0.000124672
913.78	415.5343	0.002707806	-0.00012583
914.78	420.9824	0.002721268	-0.000124954
915.78	418.8017	0.002722072	-0.00012508
916.78	419.3719	0.002731374	-0.000126543
917.78	422.8656	0.002741026	-0.000126184
918.78	423.3722	0.002741816	-0.000127461
919.78	424.5096	0.002756736	-0.000127352
920.78	428.3592	0.002770375	-0.000128015
921.78	427.3716	0.002775415	-0.000129158
922.78	426.2056	0.002773666	-0.000129761
923.78	429.2413	0.002784154	-0.000129717
924.78	431.8384	0.002793534	-0.000129537
925.78	430.0773	0.002800208	-0.000131135
926.78	432.2311	0.002811143	-0.000131644
927.78	432.189	0.002817464	-0.000131677
928.78	434.5326	0.002829608	-0.000133949
929.78	437.4155	0.002829832	-0.000133718
930.78	437.4638	0.002849336	-0.000133681
931.78	435.9638	0.002847429	-0.000135262
932.78	437.5	0.002854723	-0.000135551
933.78	440.6742	0.002864	-0.000135397
934.78	441.3516	0.002880174	-0.000136312
935.78	443.6436	0.002885167	-0.000138112
936.78	447.8162	0.002892448	-0.000137373
937.78	443.4	0.002900634	-0.000139599
938.78	446.1118	0.002904484	-0.000139816
939.78	447.5606	0.002911791	-0.00013991
940.78	451.392	0.002924734	-0.000139451
941.78	448.6425	0.002931313	-0.000140539
942.78	451.5296	0.002939609	-0.000141354
943.78	454.6699	0.002942761	-0.000141687
944.78	455.8166	0.002953673	-0.000142557
945.78	455.6181	0.002958671	-0.000142657
946.78	455.4264	0.002974809	-0.000143527
947.78	458.7254	0.002981458	-0.000144983
948.78	457.2868	0.00298452	-0.000144855
949.78	457.4946	0.002997319	-0.000144854
950.78	459.1403	0.003006784	-0.000145729
951.78	464.5822	0.003009242	-0.000145468
952.78	465.8864	0.003024232	-0.000146094
953.78	466.3797	0.003033411	-0.000146787
954.78	463.3484	0.0030297	-0.000147419
955.78	466.6546	0.003046629	-0.000147332
956.78	469.2772	0.003053805	-0.000147755
957.78	466.0547	0.003055721	-0.000149722
958.78	467.5528	0.003065252	-0.000150365
959.78	471.1958	0.003076238	-0.000150072
960.78	474.9218	0.003089449	-0.000150639
961.78	477.5642	0.003093847	-0.000150165
962.78	471.4923	0.003100791	-0.000152737
963.78	477.6801	0.003106031	-0.000151738
964.78	477.9004	0.003110287	-0.000152243
965.78	474.5445	0.003124578	-0.000154379
966.78	478.5361	0.003135158	-0.000154523
967.78	482.1858	0.003140064	-0.000154331
968.78	484.0008	0.003152977	-0.000155469
969.78	485.1719	0.003161814	-0.000155889
970.78	483.6965	0.00316748	-0.000157698
971.78	482.9377	0.003176077	-0.000158285
972.78	480.1323	0.00317505	-0.000158882
973.78	485.9141	0.003188826	-0.000158678
974.78	488.8118	0.00319821	-0.000159479
975.78	491.0262	0.00320377	-0.000159301
976.78	495.5985	0.003210828	-0.000159976
977.78	492.0767	0.003223574	-0.000162059
978.78	492.95	0.003233817	-0.000162577
979.78	490.3434	0.003236193	-0.000162864
980.78	492.9425	0.003245059	-0.000163706
981.78	496.2042	0.003248103	-0.000163911
982.78	500.9151	0.003258914	-0.000164097
983.78	501.2176	0.003267134	-0.000165298
984.78	500.2196	0.003274747	-0.000165992
985.78	504.5836	0.003286033	-0.000166696
986.78	505.1692	0.003291811	-0.000166868
987.78	505.0042	0.003296471	-0.000167823
988.78	507.9551	0.003312724	-0.000168095
989.78	509.8499	0.003319886	-0.000168319
990.78	508.0385	0.00331936	-0.000169974
991.78	511.4229	0.003330938	-0.000170907
992.78	514.3019	0.003337458	-0.000171267
993.78	511.6667	0.003345371	-0.000172674
994.78	514.3908	0.003355324	-0.000172944
995.78	515.3964	0.003363801	-0.000173639
996.78	516.4213	0.003375995	-0.000174047
997.78	515.7633	0.003386208	-0.00017516
998.78	520.7922	0.003392207	-0.00017533
999.78	520.5424	0.003399987	-0.000176332
1000.78	525.5824	0.003407744	-0.000176058
1001.78	521.634	0.003419153	-0.000177607
1002.78	523.2343	0.003422847	-0.000177582
1003.78	522.5106	0.00342837	-0.000178846
1004.78	524.5231	0.00343965	-0.000179011
1005.78	528.7914	0.003445836	-0.000178516
1006.78	529.2863	0.003454493	-0.000178836
1007.78	532.6028	0.003463459	-0.000179403
1008.78	535.2837	0.003476629	-0.00017996
1009.78	535.8035	0.003483691	-0.000181133
1010.78	531.1118	0.003486681	-0.000182565
1011.78	532.3502	0.003497898	-0.000182533
1012.78	538.2865	0.003499678	-0.000182229
1013.78	536.1949	0.003506817	-0.000183963
1014.78	539.5937	0.003516391	-0.000184103
1015.78	541.4238	0.003528338	-0.000184655
1016.78	543.5237	0.003530262	-0.000185293
1017.78	544.4584	0.003544336	-0.000185954
1018.78	549.0357	0.003554645	-0.000186091
1019.78	547.6508	0.003555745	-0.000186338
1020.78	546.4516	0.0035681	-0.000186695
1021.78	548.42	0.00357428	-0.000187075
1022.78	549.4834	0.003577229	-0.000188977
1023.78	549.5203	0.00359328	-0.000189974
1024.78	552.3325	0.003601541	-0.000190162
1025.78	550.814	0.003604746	-0.000191794
1026.78	558.609	0.003615506	-0.000190996
1027.78	559.7808	0.003624522	-0.000190522
1028.78	557.3166	0.003635643	-0.000191873
1029.78	561.3248	0.003639536	-0.000191933
1030.78	557.2763	0.003641254	-0.000193863
1031.78	560.4867	0.003649821	-0.000194996
1032.78	563.8907	0.003664363	-0.000195428
1033.78	560.7825	0.003670541	-0.000197263
1034.78	567.0802	0.003683869	-0.000197227
1035.78	566.34	0.003692686	-0.000198192
1036.78	566.339	0.003699245	-0.00019789
1037.78	572.3725	0.00370669	-0.000197269
1038.78	570.1176	0.003710407	-0.000198599
1039.78	575.5767	0.003721218	-0.000199347
1040.78	573.835	0.003733388	-0.000200977
1041.78	571.6541	0.003739059	-0.000203061
1042.78	577.306	0.003744873	-0.000202425
1043.78	579.9552	0.003752645	-0.000202961
1044.78	581.2305	0.003759919	-0.000203038
1045.78	582.2366	0.003768987	-0.000203972
1046.78	581.0552	0.003776941	-0.000204809
1047.78	583.1703	0.003782855	-0.000205505
1048.78	582.8457	0.003795459	-0.000206843
1049.78	590.199	0.003798373	-0.00020708
1050.78	587.0803	0.003814534	-0.000208484
1051.78	590.5543	0.003817506	-0.000207936
1052.78	586.4579	0.003820305	-0.000208856
1053.78	587.9633	0.003832702	-0.000209246
1054.78	592.1813	0.003844766	-0.000210006
1055.78	592.7419	0.003849338	-0.000211616
1056.78	595.6372	0.003857906	-0.000211002
1057.78	593.4267	0.003867091	-0.000212719
1058.78	597.7443	0.003870299	-0.000212693
1059.78	595.1887	0.003882809	-0.000213708
1060.78	601.0363	0.003887307	-0.000213666
1061.78	597.6351	0.003894208	-0.000215125
1062.78	600.1053	0.003904312	-0.000215223
1063.78	604.8307	0.003913425	-0.000215267
1064.78	605.4839	0.003915033	-0.000217112
1065.78	607.4677	0.003921422	-0.000217578
1066.78	609.7135	0.003934726	-0.000217547
1067.78	608.2699	0.003940182	-0.000218548
1068.78	610.4686	0.003954795	-0.000218692
1069.78	612.9468	0.003966518	-0.000217695
1070.78	618.1933	0.003971366	-0.000217368
1071.78	614.0372	0.003971893	-0.00021952
1072.78	616.7969	0.003981411	-0.000220274
1073.78	619.6364	0.003989055	-0.000220587
1074.78	621.0093	0.003998208	-0.000221109
1075.78	623.9666	0.004002735	-0.000221816
1076.78	621.8582	0.004021759	-0.000223395
1077.78	624.7197	0.004024391	-0.000223587
1078.78	622.3658	0.004034417	-0.000224463
1079.78	621.821	0.004037242	-0.000225907
1080.78	625.393	0.004046275	-0.000225816
1081.78	630.5032	0.004062319	-0.000226897
1082.78	630.6042	0.004066369	-0.000227853
1083.78	630.2668	0.004072359	-0.000228987
1084.78	630.6492	0.004084078	-0.000229757
1085.78	625.0509	0.004083394	-0.000230989
1086.78	632.7131	0.004090769	-0.000229957
1087.78	636.9667	0.004104434	-0.000230847
1088.78	633.405	0.004113704	-0.000231935
1089.78	641.8418	0.004125463	-0.000231654
1090.78	641.5486	0.004124035	-0.000232445
1091.78	639.9913	0.004135691	-0.00023381
1092.78	646.131	0.004145554	-0.000232755
1093.78	641.6409	0.004154731	-0.000235191
1094.78	642.7758	0.004155492	-0.000235446
1095.78	647.3005	0.004169228	-0.000235344
1096.78	650.7766	0.004173014	-0.000236384
1097.78	653.5812	0.004185266	-0.000238374
1098.78	656.3389	0.004194871	-0.000239378
1099.78	650.3137	0.00420508	-0.000240094
1100.78	650.0661	0.004204157	-0.000240562
1101.78	656.0031	0.004221746	-0.000239858
1102.78	657.9662	0.004223858	-0.00023941
1103.78	656.4246	0.004229225	-0.000240632
1104.78	659.5818	0.004242867	-0.000241875
1105.78	661.0132	0.004253584	-0.000241537
1106.78	659.709	0.004256632	-0.000243115
1107.78	662.7693	0.004266892	-0.000243868
1108.78	666.1901	0.004275744	-0.000243315
1109.78	668.0725	0.004283204	-0.000243536
1110.78	662.2504	0.004284177	-0.000244935
1111.78	666.8054	0.004296337	-0.000245133
1112.78	669.1477	0.004301027	-0.000245961
1113.78	668.8	0.004308486	-0.000247738
1114.78	678.1091	0.004319591	-0.000247324
1115.78	674.7789	0.004326958	-0.000248308
1116.78	675.4	0.00434441	-0.000248691
1117.78	680.7909	0.004349576	-0.000250915
1118.78	680.5135	0.004354034	-0.000251245
1119.78	680.171	0.004359117	-0.000251788
1120.78	680.0709	0.004371377	-0.000253179
1121.78	681.9911	0.004380368	-0.000254118
1122.78	682.9481	0.004387212	-0.000254459
1123.78	683.5215	0.004394497	-0.00025431
1124.78	685.0002	0.004403613	-0.000255468
1125.78	686.197	0.004410951	-0.000256009
1126.78	689.7423	0.004421167	-0.000255788
1127.78	693.2791	0.004428592	-0.0002554
1128.78	694.1232	0.004435534	-0.000257405
1129.78	693.7549	0.00443879	-0.000258451
1130.78	693.5832	0.004451253	-0.000260203
1131.78	698.6891	0.004463044	-0.000259991
1132.78	699.0994	0.004468582	-0.000260309
1133.78	697.9741	0.004475236	-0.00026157
1134.78	698.7764	0.004480637	-0.000263465
1135.78	700.9327	0.004483404	-0.000263611
1136.78	703.3947	0.004505109	-0.000264289
1137.78	707.5323	0.004512881	-0.000264349
1138.78	707.672	0.004516121	-0.000264681
1139.78	704.4435	0.004520102	-0.000266446
1140.78	709.1411	0.004531411	-0.000266071
1141.78	710.3355	0.004541478	-0.000267062
1142.78	712.5601	0.004547052	-0.000267531
1143.78	710.3351	0.00455539	-0.000268207
1144.78	710.6855	0.004561336	-0.000268887
1145.78	714.2023	0.004570702	-0.000269379
1146.78	717.5471	0.004580845	-0.00027004
1147.78	718.2809	0.004587501	-0.000270814
1148.78	723.739	0.004600111	-0.000271158
1149.78	720.1468	0.004602695	-0.000271922
1150.78	722.6667	0.004611698	-0.000272618
1151.78	726.2209	0.004618366	-0.000272168
1152.78	729.47	0.004632825	-0.000272886
1153.78	735.3547	0.004636236	-0.000273167
1154.78	730.6128	0.004640788	-0.000275549
1155.78	729.6236	0.004651602	-0.00027657
1156.78	732.3754	0.004661268	-0.000276373
1157.78	733.1163	0.004667478	-0.000276896
1158.78	735.6798	0.004680787	-0.000277618
1159.78	737.4156	0.004688983	-0.000277798
1160.78	741.0327	0.004695445	-0.000278662
1161.78	734.7532	0.004697545	-0.000281144
1162.78	740.5026	0.004710871	-0.000281287
1163.78	741.5461	0.004710615	-0.000281918
1164.78	742.6712	0.004728186	-0.00028242
1165.78	749.2775	0.004733623	-0.000281644
1166.78	746.0127	0.004736036	-0.000283009
1167.78	744.6609	0.004747771	-0.000283723
1168.78	750.9247	0.004762837	-0.000283711
1169.78	751.8643	0.004763979	-0.000285391
1170.78	748.8554	0.004770683	-0.000286548
1171.78	753.2123	0.004778641	-0.000287824
1172.78	755.0883	0.004790409	-0.000288073
1173.78	760.0391	0.004801104	-0.000287803
1174.78	755.8022	0.004803341	-0.000289462
1175.78	760.4327	0.004813417	-0.000290355
1176.78	766.1052	0.004823024	-0.000290274
1177.78	768.6423	0.004833878	-0.000291309
1178.78	768.0856	0.004838644	-0.000292533
1179.78	770.0934	0.004843955	-0.00029346
1180.78	772.6379	0.004846822	-0.00029299
1181.78	771.3111	0.004856436	-0.000294497
1182.78	769.3	0.004866752	-0.000295902
1183.78	778.6637	0.004878206	-0.00029531
1184.78	773.5844	0.004884732	-0.000297398
1185.78	778.7817	0.004895531	-0.000298131
1186.78	777.469	0.004902735	-0.000299377
1187.78	780.3387	0.004910059	-0.000300649
1188.78	784.1273	0.004923671	-0.000301275
1189.78	783.7001	0.004926407	-0.000301976
1190.78	785.7816	0.004925237	-0.000302019
1191.78	788.9788	0.004943123	-0.000302262
1192.78	787.4375	0.00494444	-0.000302701
1193.78	791.4833	0.004954638	-0.000304825
1194.78	788.4911	0.004967002	-0.000305521
1195.78	792.4944	0.004973578	-0.000306065
1196.78	795.6301	0.004984726	-0.000307454
1197.78	798.3378	0.004990393	-0.000308282
1198.78	792.0056	0.004991218	-0.000308862
1199.78	800.5403	0.005007598	-0.000309156
1200.78	801.1456	0.005012615	-0.000309773
1201.78	806.0521	0.005021938	-0.000309445
1202.78	805.4872	0.005032678	-0.000310708
1203.78	803.8004	0.005033268	-0.000312814
1204.78	805.9185	0.005042482	-0.000314121
1205.78	805.8815	0.005052458	-0.000314972
1206.78	810.2244	0.005064577	-0.000314903
1207.78	806.8619	0.00507486	-0.000315755
