Time (s)	F (lb)	Xa (in)	Ya (in)
118	72.33443	3.69207E-05	9.25917E-06
119	72.46021	3.20043E-05	1.0648E-05
120	71.71747	3.43421E-05	9.65209E-06
121	74.46761	4.05044E-05	9.99493E-06
122	72.77175	3.41977E-05	1.1176E-05
123	73.0686	2.99683E-05	1.09951E-05
124	70.37923	3.04268E-05	9.88074E-06
125	72.87138	3.15648E-05	1.00835E-05
126	72.45766	3.31539E-05	1.12039E-05
127	72.79099	3.23962E-05	1.06945E-05
128	73.21449	3.6304E-05	1.09434E-05
129	73.32743	4.98747E-05	1.08365E-05
130	73.70677	4.00832E-05	1.07972E-05
131	73.10584	4.54147E-05	1.03606E-05
132	72.49694	3.41032E-05	1.08285E-05
133	73.18784	2.87407E-05	1.08771E-05
134	73.31252	3.70083E-05	1.11205E-05
135	72.63833	3.92085E-05	1.15111E-05
136	73.22271	4.87817E-05	1.06126E-05
137	72.76957	3.31924E-05	1.08432E-05
138	72.90343	2.59733E-05	1.11995E-05
139	72.26752	4.1088E-05	1.01597E-05
140	73.60608	4.34899E-05	1.04874E-05
141	72.33582	3.69033E-05	1.08781E-05
142	73.1123	5.16629E-05	1.11859E-05
143	72.08895	3.78486E-05	1.1381E-05
144	73.72675	2.80927E-05	1.17451E-05
145	73.52973	3.39738E-05	1.1228E-05
146	72.45213	2.66217E-05	1.14376E-05
147	72.51679	2.93057E-05	1.19776E-05
148	74.10651	4.18583E-05	1.19744E-05
149	74.36695	4.14248E-05	1.26164E-05
150	72.96324	4.24496E-05	1.11167E-05
151	71.85666	2.89047E-05	1.13314E-05
152	72.99028	4.36581E-05	1.0987E-05
153	72.59314	3.74938E-05	0.000011475
154	73.12019	3.42869E-05	1.13412E-05
155	74.55586	4.88605E-05	1.15181E-05
156	72.63755	3.72595E-05	1.13323E-05
157	72.27451	2.80521E-05	1.18834E-05
158	72.83888	3.85155E-05	1.1206E-05
159	70.88397	3.43571E-05	1.07693E-05
160	71.06272	3.64861E-05	1.17909E-05
161	73.49265	4.73613E-05	1.24948E-05
162	73.75914	4.62726E-05	1.17433E-05
163	73.34684	5.2127E-05	1.15573E-05
164	72.20992	4.5399E-05	1.11756E-05
165	71.3626	3.20386E-05	1.16667E-05
166	71.883	4.48763E-05	1.12943E-05
167	72.70076	3.6588E-05	1.22563E-05
168	72.75475	4.56152E-05	1.22754E-05
169	72.76995	5.10777E-05	1.26625E-05
170	72.39886	3.85826E-05	1.2984E-05
171	72.61898	3.97246E-05	1.20224E-05
172	73.4565	5.72983E-05	1.13793E-05
173	72.60744	4.70802E-05	1.17518E-05
174	72.52786	3.08937E-05	1.33688E-05
175	72.42474	5.25885E-05	1.24696E-05
176	70.80737	4.70445E-05	1.28798E-05
177	72.93723	4.58648E-05	1.36937E-05
178	72.53175	4.90678E-05	1.29026E-05
179	74.49677	5.61479E-05	1.24034E-05
180	73.34807	4.51599E-05	1.25178E-05
181	71.19645	3.82263E-05	1.31727E-05
182	72.55718	4.51551E-05	1.3548E-05
183	72.39772	4.62281E-05	1.35745E-05
184	73.16895	4.3744E-05	1.39374E-05
185	72.34132	4.87902E-05	1.38671E-05
186	73.15527	4.42573E-05	1.32865E-05
187	73.25397	4.39479E-05	1.28222E-05
188	71.61312	5.20241E-05	1.38309E-05
189	73.90689	5.91099E-05	1.38874E-05
190	73.2114	4.76183E-05	1.42304E-05
191	73.31965	5.23886E-05	1.39691E-05
192	72.61967	5.89471E-05	1.36817E-05
193	73.09464	6.21853E-05	1.2948E-05
194	72.89024	4.11658E-05	1.35334E-05
195	72.63105	4.77719E-05	1.38244E-05
196	71.86378	4.49172E-05	1.39304E-05
197	75.05653	4.24923E-05	1.41197E-05
198	71.80156	3.41332E-05	1.53739E-05
199	71.84035	5.19517E-05	1.40514E-05
200	72.18243	4.92192E-05	1.40724E-05
201	73.34744	4.39988E-05	1.32434E-05
202	72.14993	4.92439E-05	1.29623E-05
203	73.18517	4.43652E-05	1.39485E-05
204	71.68614	3.67509E-05	1.4458E-05
205	72.43076	5.97848E-05	1.38379E-05
206	72.55828	4.31458E-05	1.48067E-05
207	73.90392	5.72395E-05	1.36086E-05
208	73.17898	6.6084E-05	1.34126E-05
209	72.08947	5.3998E-05	1.31765E-05
210	72.62234	5.23577E-05	1.37552E-05
211	73.02804	4.93042E-05	1.43756E-05
212	73.3456	5.06182E-05	1.43961E-05
213	72.72167	4.91774E-05	1.48938E-05
214	71.73283	5.40764E-05	1.36179E-05
215	72.22773	5.29573E-05	1.37691E-05
216	72.57816	3.92423E-05	1.41019E-05
217	72.48486	4.52468E-05	1.51941E-05
218	73.18176	5.26761E-05	1.44496E-05
219	72.72539	6.33451E-05	1.45751E-05
220	74.06741	5.9381E-05	1.50737E-05
221	74.65685	4.76061E-05	1.56322E-05
222	72.24609	5.47152E-05	1.49999E-05
223	72.93853	5.30812E-05	1.57866E-05
224	71.49617	3.68005E-05	1.54538E-05
225	73.04418	4.82473E-05	1.59892E-05
226	72.50815	5.65523E-05	1.4779E-05
227	71.65727	5.98422E-05	1.47904E-05
228	72.03056	5.15761E-05	1.53238E-05
229	72.10416	4.59712E-05	1.52431E-05
230	72.05375	4.96215E-05	1.65235E-05
231	72.46887	6.14015E-05	1.35361E-05
232	73.24348	4.01378E-05	1.62405E-05
233	73.58561	4.27159E-05	1.74507E-05
234	73.54376	6.1251E-05	1.61745E-05
235	72.50544	5.14805E-05	1.71938E-05
236	72.43528	5.48524E-05	1.72199E-05
237	72.29854	4.85137E-05	1.68796E-05
238	73.32716	5.84168E-05	1.66785E-05
239	71.77743	5.48312E-05	1.70901E-05
240	73.45419	5.11083E-05	1.77183E-05
241	73.05051	5.28242E-05	1.76994E-05
242	73.15543	4.91849E-05	1.79943E-05
243	72.73875	6.10031E-05	1.66692E-05
244	74.07742	5.7777E-05	1.68711E-05
245	72.79157	5.76095E-05	1.67942E-05
246	72.14285	3.96912E-05	1.87273E-05
247	74.21792	5.06803E-05	1.76594E-05
248	72.63148	4.72921E-05	1.81662E-05
249	71.49715	4.35588E-05	1.81485E-05
250	72.9773	5.05774E-05	1.79959E-05
251	71.83447	5.92205E-05	1.69026E-05
252	73.30126	5.13558E-05	1.73968E-05
253	73.24332	5.7368E-05	1.71978E-05
254	74.81276	6.81605E-05	1.62886E-05
255	72.41473	4.51742E-05	1.74961E-05
256	73.31066	4.66037E-05	1.8603E-05
257	73.8227	5.89144E-05	1.88479E-05
258	71.39222	4.82381E-05	1.83499E-05
259	73.3414	5.80074E-05	1.77332E-05
260	72.4465	4.75468E-05	1.80083E-05
261	72.3379	4.86469E-05	1.81573E-05
262	72.65741	6.39158E-05	1.83898E-05
263	73.65469	5.32601E-05	1.8821E-05
264	74.56576	5.82885E-05	1.80099E-05
265	73.41212	6.15488E-05	1.79313E-05
266	71.80547	6.09498E-05	1.64845E-05
267	73.62708	5.27796E-05	1.77681E-05
268	72.67208	6.89916E-05	1.71875E-05
269	72.07883	6.17633E-05	1.71911E-05
270	72.04214	6.09972E-05	1.72888E-05
271	71.84378	5.01957E-05	1.86168E-05
272	73.07232	4.50386E-05	1.73501E-05
273	72.51902	4.7525E-05	1.69798E-05
274	72.19739	4.44072E-05	1.77387E-05
275	73.51308	6.18053E-05	1.80049E-05
276	73.22376	6.03405E-05	1.85417E-05
277	72.20139	6.2872E-05	1.78988E-05
278	72.94329	5.61625E-05	1.88299E-05
279	72.62225	6.82624E-05	1.87132E-05
280	72.53874	6.12322E-05	1.898E-05
281	73.39684	5.53316E-05	1.84603E-05
282	72.23676	5.34992E-05	1.85476E-05
283	73.32195	6.39306E-05	1.82371E-05
284	72.04042	4.99211E-05	1.96801E-05
285	73.9488	5.80954E-05	2.0139E-05
286	72.64677	6.52527E-05	1.95389E-05
287	72.14863	6.77249E-05	1.85484E-05
288	73.34148	5.55674E-05	2.00323E-05
289	72.04008	5.52617E-05	1.9878E-05
290	73.14057	6.30194E-05	1.96255E-05
291	73.53251	5.80838E-05	1.9955E-05
292	72.18626	5.87593E-05	1.99451E-05
293	72.12752	6.05689E-05	2.02399E-05
294	72.54464	5.66943E-05	1.97607E-05
295	72.63386	4.66154E-05	2.02895E-05
296	72.45826	5.69895E-05	1.95544E-05
297	73.68837	6.40473E-05	1.92973E-05
298	72.03857	4.85815E-05	1.96688E-05
299	72.21246	6.11196E-05	1.90321E-05
300	72.52101	6.79475E-05	1.97053E-05
301	73.01702	5.23181E-05	2.08755E-05
302	72.62472	6.65814E-05	1.99689E-05
303	71.76155	7.73721E-05	1.89702E-05
304	72.18768	7.36851E-05	1.84516E-05
305	71.8165	5.45769E-05	1.99268E-05
306	74.163	5.49753E-05	2.04327E-05
307	72.65454	7.07388E-05	1.90667E-05
308	73.91929	6.37611E-05	1.97301E-05
309	73.12762	6.19953E-05	2.02394E-05
310	71.94861	5.40613E-05	1.97692E-05
311	73.28931	6.85354E-05	1.96262E-05
312	73.0618	6.75116E-05	1.95711E-05
313	72.94034	5.35684E-05	2.02397E-05
314	72.98879	5.53888E-05	2.05935E-05
315	74.08854	7.50714E-05	1.99161E-05
316	71.47308	6.33054E-05	1.97989E-05
317	73.03378	5.65073E-05	1.96485E-05
318	72.02571	7.43352E-05	1.82938E-05
319	71.17732	6.84329E-05	1.82127E-05
320	72.45832	6.2048E-05	1.97391E-05
321	73.12042	7.0286E-05	2.04872E-05
322	72.23845	7.56373E-05	1.97375E-05
323	72.49942	7.94335E-05	1.94837E-05
324	72.1903	5.48228E-05	1.99963E-05
325	73.39225	4.77009E-05	2.08464E-05
326	73.05221	6.24061E-05	1.97258E-05
327	73.31712	7.07821E-05	1.9712E-05
328	73.01581	7.68195E-05	1.98423E-05
329	72.74094	6.43819E-05	2.11072E-05
330	71.60105	5.76546E-05	2.06747E-05
331	73.60753	8.05503E-05	1.99922E-05
332	73.57001	6.09584E-05	2.02761E-05
333	72.78423	5.56371E-05	2.123E-05
334	72.88404	6.86195E-05	2.00865E-05
335	73.26503	6.30972E-05	2.10166E-05
336	73.95323	7.87997E-05	2.03213E-05
337	73.41508	5.56833E-05	2.16554E-05
